,FUNCTION,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Assignment,ExitPoint,Function.1,FunctionCall,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,BRAM
0,astar,7.379196667,142.86,231,66,3162512.86,2695,0.01,22137.59,175695.16,1695,1000,297,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,7.379196667,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,8,51,5,16,21,30,16,18,6,80,0,37,31,6,20,11,0,58,0,20,32,36,27,24,5,76,0,13,16
1,astar,2.578223333,71.79,154,66,555238.92,994,0.01,7734.67,30846.61,659,335,220,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2.578223333,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,8,2,2,13,0,9,6,4,8,3,1,1,0,3,11,2,8,7,0,2,0,3,4,3,4,5,1,0,1,0,8
2,astar,2.871423333,69.17,177,66,595844.76,1087,0.01,8614.27,33102.49,716,371,243,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2.871423333,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,24,1,0,25,11,11,14,8,5,0,1,1,0,4,21,4,10,7,0,4,6,22,6,3,8,8,1,0,1,1,16
3,astar,7.30094,143.48,230,66,3142578.75,2668,0.01,21902.82,174587.71,1668,1000,296,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,7.30094,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,22,1,0,65,0,18,1,42,17,5,0,53,0,23,44,15,14,0,0,57,0,41,20,33,21,23,0,76,0,21,16
4,astar,7.36497,144.1,229,66,3183982.68,2693,0.01,22094.91,176887.93,1693,1000,295,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,7.36497,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,48,12,0,69,0,19,26,16,4,0,0,51,0,22,19,17,24,46,0,60,0,12,24,18,25,0,0,72,0,35,16
5,astar,6.24836,121.0,231,66,2268154.22,2282,0.01,18745.08,126008.57,1435,847,297,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,6.24836,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,3,25,0,72,0,16,21,31,11,9,0,66,7,30,27,2,36,19,0,43,0,23,35,28,17,23,0,54,0,30,16
6,astar,3.04418,69.18,187,66,631757.21,1144,0.01,9132.54,35097.62,752,392,253,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,3.04418,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,15,0,0,21,2,13,16,3,15,2,0,35,0,10,13,6,18,21,0,8,16,21,17,4,10,4,3,9,2,1,16
7,astar,2.591086667,69.09,160,66,537083.54,994,0.01,7773.26,29837.97,659,335,226,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2.591086667,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,11,4,3,8,0,7,9,3,8,3,2,2,0,0,4,2,7,4,1,0,1,2,2,2,3,4,1,0,1,0,8
8,astar,6.270016667,122.59,228,66,2305963.43,2294,0.01,18810.05,128109.08,1447,847,294,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,6.270016667,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,20,1,0,50,0,41,6,18,5,1,20,49,0,30,15,20,40,24,0,67,0,52,12,22,42,7,14,65,0,21,16
9,astar,2.366603333,71.35,142,66,506536.12,922,0.01,7099.81,28140.9,615,307,208,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2.366603333,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,4,0,1,0,1,0,0,2,1,1,0,1,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,16
