id,cInstr
values_27,1285
values_84,39887
values_65,1873
values_96,6033
values_28,57337
values_54,19473
values_15,50961
values_87,30639
values_59,35129
values_5,71259
values_92,30869
values_0,1312
values_77,11457
values_17,30638
values_12,26568
values_33,45443
values_25,45285
values_19,30655
values_97,26462
values_81,63965
values_8,26745
values_73,7647
values_89,64046
values_82,286
values_34,1285
values_70,522
values_29,1294
values_51,6003
values_57,1302
values_88,9404
values_23,16464
values_45,829
values_66,71378
values_36,9387
values_56,16572
values_26,853
values_43,1296
values_52,2651
values_98,7583
values_61,19426
values_44,35050
values_68,2634
values_41,7599
values_85,282
values_79,4655
values_71,849
values_63,64054
values_20,51041
values_74,4678
values_72,9342
values_86,1312
values_75,19548
values_55,834
values_14,137
values_47,26638
values_91,30647
values_64,2653
values_11,30533
values_49,9382
values_62,35060
values_80,9427
values_39,26430
values_90,141
values_53,3550
values_94,22945
values_7,137
values_31,63879
values_93,26459
values_38,13804
values_58,39972
values_78,4708
values_50,847
values_3,16564
values_13,26526
values_83,30652
values_1,64067
values_21,19494
values_32,2634
values_22,2627
values_9,26496
values_6,57315
values_76,57350
values_18,3578
values_16,7605
values_40,39867
values_2,3529
values_60,71351
values_99,4707
values_48,3573
values_69,6026
values_46,51086
values_24,9393
values_95,26468
values_42,13808
values_37,16503
values_10,2631
values_67,56
values_35,56
values_30,26612
values_4,288
