inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 218, 26, 96, 50, 314, 76, 1961.85, 48967.76, 0.04, 24.96, 2720.43, 0.45
values_84, 714, 26, 576, 135, 1290, 161, 9456.88, 524541.76, 0.02, 55.47, 29141.21, 2.17
values_65, 234, 26, 111, 62, 345, 88, 2228.50, 51866.63, 0.04, 23.27, 2881.48, 0.46
values_96, 318, 26, 191, 96, 509, 122, 3527.75, 91243.66, 0.04, 25.86, 5069.09, 0.68
values_28, 864, 26, 723, 137, 1587, 163, 11662.43, 800110.91, 0.01, 68.61, 44450.61, 2.87
values_54, 504, 26, 371, 124, 875, 150, 6325.22, 246020.31, 0.03, 38.90, 13667.80, 1.31
values_15, 812, 26, 672, 137, 1484, 163, 10905.51, 695405.53, 0.02, 63.77, 38633.64, 2.62
values_87, 624, 26, 488, 135, 1112, 161, 8151.98, 383082.65, 0.02, 46.99, 21282.37, 1.76
values_59, 668, 26, 531, 132, 1199, 158, 8757.23, 457963.49, 0.02, 52.30, 25442.42, 1.98
values_5, 974, 26, 831, 135, 1805, 161, 13232.30, 1058878.45, 0.01, 80.02, 58826.58, 3.46
values_92, 624, 26, 488, 134, 1112, 160, 8141.98, 385468.26, 0.02, 47.34, 21414.90, 1.77
values_0, 218, 26, 96, 51, 314, 77, 1967.77, 48152.51, 0.04, 24.47, 2675.14, 0.44
values_77, 402, 26, 272, 120, 674, 146, 4845.94, 142793.75, 0.03, 29.47, 7932.99, 0.91
values_17, 624, 26, 488, 130, 1112, 156, 8101.37, 395346.72, 0.02, 48.80, 21963.71, 1.80
values_12, 582, 26, 447, 134, 1029, 160, 7534.26, 326728.42, 0.02, 43.37, 18151.58, 1.58
values_33, 762, 26, 623, 137, 1385, 163, 10177.99, 601689.99, 0.02, 59.12, 33427.22, 2.38
values_25, 762, 26, 623, 135, 1385, 161, 10153.32, 609123.98, 0.02, 59.99, 33840.22, 2.40
values_19, 624, 26, 488, 136, 1112, 162, 8161.91, 380729.25, 0.02, 46.65, 21151.62, 1.75
values_97, 582, 26, 447, 130, 1029, 156, 7496.68, 335101.55, 0.02, 44.70, 18616.75, 1.61
values_81, 918, 26, 776, 137, 1694, 163, 12448.75, 916663.83, 0.01, 73.64, 50925.77, 3.15
values_8, 582, 26, 447, 132, 1029, 158, 7515.59, 330856.79, 0.02, 44.02, 18380.93, 1.59
values_73, 344, 26, 216, 101, 560, 127, 3913.66, 108807.59, 0.04, 27.80, 6044.87, 0.76
values_89, 918, 26, 776, 137, 1694, 163, 12448.75, 916663.83, 0.01, 73.64, 50925.77, 3.15
values_82, 182, 26, 63, 25, 245, 51, 1389.74, 45528.02, 0.03, 32.76, 2529.33, 0.43
values_34, 218, 26, 96, 49, 314, 75, 1955.85, 49814.28, 0.04, 25.47, 2767.46, 0.45
values_70, 192, 26, 72, 34, 264, 60, 1559.42, 42929.89, 0.04, 27.53, 2384.99, 0.41
values_29, 218, 26, 96, 48, 314, 74, 1949.77, 50693.98, 0.04, 26, 2816.33, 0.46
values_51, 318, 26, 191, 96, 509, 122, 3527.75, 91243.66, 0.04, 25.86, 5069.09, 0.68
values_57, 218, 26, 96, 50, 314, 76, 1961.85, 48967.76, 0.04, 24.96, 2720.43, 0.45
values_88, 372, 26, 243, 112, 615, 138, 4371.74, 123306.56, 0.04, 28.21, 6850.36, 0.83
values_23, 468, 26, 336, 124, 804, 150, 5811.97, 204731.34, 0.03, 35.23, 11373.96, 1.16
values_45, 204, 26, 83, 40, 287, 66, 1734.74, 46794.64, 0.04, 26.98, 2599.70, 0.43
values_66, 974, 26, 831, 137, 1805, 163, 13264.45, 1045955.47, 0.01, 78.85, 58108.64, 3.43
values_36, 372, 26, 243, 104, 615, 130, 4318.76, 131182.22, 0.03, 30.38, 7287.90, 0.86
values_56, 468, 26, 336, 126, 804, 152, 5827.33, 202014.24, 0.03, 34.67, 11223.01, 1.15
values_26, 204, 26, 83, 42, 287, 68, 1747.10, 44883.88, 0.04, 25.69, 2493.55, 0.42
values_43, 218, 26, 96, 56, 314, 82, 1996.27, 44488.33, 0.04, 22.29, 2471.57, 0.42
values_52, 252, 26, 128, 64, 380, 90, 2466.90, 64139.51, 0.04, 26, 3563.31, 0.53
values_98, 344, 26, 216, 100, 560, 126, 3907.28, 109716.33, 0.04, 28.08, 6095.35, 0.76
values_61, 504, 26, 371, 127, 875, 153, 6350.21, 241158.14, 0.03, 37.98, 13397.67, 1.29
values_44, 668, 26, 531, 134, 1199, 160, 8778.99, 452249.11, 0.02, 51.51, 25124.95, 1.96
values_68, 252, 26, 128, 72, 380, 98, 2513.59, 58091.85, 0.04, 23.11, 3227.33, 0.50
values_41, 344, 26, 216, 99, 560, 125, 3900.84, 110641.98, 0.04, 28.36, 6146.78, 0.77
values_85, 182, 26, 63, 26, 245, 52, 1396.61, 43993.14, 0.03, 31.50, 2444.06, 0.42
values_79, 294, 26, 168, 88, 462, 114, 3156.80, 78345.92, 0.04, 24.82, 4352.55, 0.61
values_71, 204, 26, 83, 44, 287, 70, 1759.10, 43138.03, 0.04, 24.52, 2396.56, 0.41
values_63, 918, 26, 776, 137, 1694, 163, 12448.75, 916663.83, 0.01, 73.64, 50925.77, 3.15
values_20, 812, 26, 672, 137, 1484, 163, 10905.51, 695405.53, 0.02, 63.77, 38633.64, 2.62
values_74, 294, 26, 168, 89, 462, 115, 3162.62, 77608.47, 0.04, 24.54, 4311.58, 0.61
values_72, 372, 26, 243, 106, 615, 132, 4332.30, 129110.79, 0.03, 29.80, 7172.82, 0.85
values_86, 218, 26, 96, 52, 314, 78, 1973.62, 47366.79, 0.04, 24, 2631.49, 0.44
values_75, 504, 26, 371, 130, 875, 156, 6374.73, 236502.37, 0.03, 37.10, 13139.02, 1.27
values_55, 204, 26, 83, 44, 287, 70, 1759.10, 43138.03, 0.04, 24.52, 2396.56, 0.41
values_14, 174, 26, 56, 19, 230, 45, 1263.13, 48397.68, 0.03, 38.32, 2688.76, 0.44
values_47, 582, 26, 447, 130, 1029, 156, 7496.68, 335101.55, 0.02, 44.70, 18616.75, 1.61
values_91, 624, 26, 488, 133, 1112, 159, 8131.93, 387886.75, 0.02, 47.70, 21549.26, 1.77
values_64, 252, 26, 128, 67, 380, 93, 2484.88, 61714.04, 0.04, 24.84, 3428.56, 0.52
values_11, 624, 26, 488, 135, 1112, 161, 8151.98, 383082.65, 0.02, 46.99, 21282.37, 1.76
values_49, 372, 26, 243, 116, 615, 142, 4397.09, 119745.01, 0.04, 27.23, 6652.50, 0.81
values_62, 668, 26, 531, 134, 1199, 160, 8778.99, 452249.11, 0.02, 51.51, 25124.95, 1.96
values_80, 372, 26, 243, 109, 615, 135, 4352.24, 126135.15, 0.03, 28.98, 7007.51, 0.84
values_39, 582, 26, 447, 131, 1029, 157, 7506.16, 332964.30, 0.02, 44.36, 18498.02, 1.60
values_90, 174, 26, 56, 20, 230, 46, 1270.42, 46243.26, 0.03, 36.40, 2569.07, 0.43
values_53, 272, 26, 147, 83, 419, 109, 2835.87, 65293.33, 0.04, 23.02, 3627.41, 0.54
values_94, 542, 26, 408, 129, 950, 155, 6912.32, 284208.80, 0.02, 41.12, 15789.38, 1.44
values_7, 174, 26, 56, 20, 230, 46, 1270.42, 46243.26, 0.03, 36.40, 2569.07, 0.43
values_31, 918, 26, 776, 136, 1694, 162, 12433.71, 922288.42, 0.01, 74.18, 51238.25, 3.16
values_93, 582, 26, 447, 132, 1029, 158, 7515.59, 330856.79, 0.02, 44.02, 18380.93, 1.59
values_38, 434, 26, 303, 116, 737, 142, 5269.36, 178931.24, 0.03, 33.96, 9940.62, 1.06
values_58, 714, 26, 576, 134, 1290, 160, 9445.29, 527808.29, 0.02, 55.88, 29322.68, 2.18
values_78, 294, 26, 168, 87, 462, 113, 3150.92, 79099.02, 0.04, 25.10, 4394.39, 0.61
values_50, 204, 26, 83, 43, 287, 69, 1753.15, 43991.75, 0.04, 25.09, 2443.99, 0.42
values_3, 468, 26, 336, 121, 804, 147, 5788.54, 208961.39, 0.03, 36.10, 11608.97, 1.17
values_13, 582, 26, 447, 132, 1029, 158, 7515.59, 330856.79, 0.02, 44.02, 18380.93, 1.59
values_83, 624, 26, 488, 135, 1112, 161, 8151.98, 383082.65, 0.02, 46.99, 21282.37, 1.76
values_1, 918, 26, 776, 136, 1694, 162, 12433.71, 922288.42, 0.01, 74.18, 51238.25, 3.16
values_21, 504, 26, 371, 123, 875, 149, 6316.77, 247689.38, 0.03, 39.21, 13760.52, 1.31
values_32, 252, 26, 128, 71, 380, 97, 2507.97, 58778.27, 0.04, 23.44, 3265.46, 0.50
values_22, 252, 26, 128, 73, 380, 99, 2519.16, 57422.94, 0.04, 22.79, 3190.16, 0.50
values_9, 582, 26, 447, 132, 1029, 158, 7515.59, 330856.79, 0.02, 44.02, 18380.93, 1.59
values_6, 864, 26, 723, 135, 1587, 161, 11634.17, 809996.43, 0.01, 69.62, 44999.80, 2.90
values_76, 864, 26, 723, 137, 1587, 163, 11662.43, 800110.91, 0.01, 68.61, 44450.61, 2.87
