inputName,size,arr[size]
values_27,16,"{84, 109, 67, 95, 5, 43, 110, 25, 75, 100, 98, 74, 17, 31, 90, 53"
values_84,22,"{114, 51, 19, 69, 40, 49, 90, 69, 38, 62, 50, 45, 44, 3, 110, 38, 106, 60, 65, 104, 41, 103"
values_65,9,"{55, 43, 87, 63, 55, 108, 113, 52, 21"
values_96,2,"{11, 45"
values_28,4,"{26, 14, 112, 102"
values_54,9,"{13, 76, 61, 3, 109, 113, 76, 57, 33"
values_15,5,"{108, 45, 46, 10, 115"
values_87,19,"{22, 72, 29, 27, 40, 84, 18, 57, 36, 113, 25, 48, 15, 42, 109, 114, 98, 86, 98"
values_59,25,"{71, 63, 53, 55, 27, 49, 92, 80, 98, 20, 106, 46, 68, 101, 7, 19, 94, 113, 44, 105, 6, 111, 111, 60, 114"
values_5,7,"{69, 104, 43, 103, 84, 69, 105"
values_92,23,"{55, 5, 21, 92, 84, 20, 22, 38, 112, 53, 25, 81, 92, 49, 31, 7, 90, 15, 52, 13, 84, 64, 23"
values_0,20,"{59, 49, 34, 91, 91, 30, 79, 64, 105, 40, 53, 48, 7, 101, 100, 14, 100, 43, 92, 41"
values_77,22,"{65, 89, 21, 12, 89, 23, 9, 77, 67, 90, 116, 116, 8, 50, 49, 23, 66, 65, 46, 30, 10, 104"
values_17,21,"{83, 29, 97, 86, 46, 23, 102, 58, 37, 96, 26, 102, 95, 19, 55, 73, 72, 99, 35, 37, 53"
values_12,6,"{30, 8, 24, 32, 16, 109"
values_33,6,"{67, 71, 52, 63, 58, 63"
values_25,7,"{91, 18, 115, 95, 112, 116, 72"
values_19,20,"{57, 66, 94, 6, 89, 19, 34, 5, 102, 92, 22, 55, 77, 53, 31, 52, 45, 91, 17, 46"
values_97,6,"{21, 93, 58, 111, 50, 79"
values_81,17,"{90, 72, 17, 27, 46, 28, 27, 15, 3, 3, 96, 43, 41, 8, 28, 9, 89"
values_8,14,"{107, 61, 88, 5, 17, 2, 42, 57, 54, 19, 66, 91, 96, 103"
values_73,21,"{80, 62, 65, 51, 26, 38, 42, 65, 111, 2, 69, 96, 75, 69, 58, 9, 78, 63, 42, 51, 107"
values_89,22,"{55, 66, 96, 38, 43, 55, 11, 56, 103, 2, 88, 107, 81, 18, 35, 42, 41, 115, 48, 21, 65, 39"
values_82,25,"{49, 24, 13, 46, 49, 51, 74, 88, 104, 93, 37, 91, 88, 73, 10, 78, 20, 62, 115, 49, 97, 26, 85, 39, 2"
values_34,21,"{35, 67, 57, 76, 54, 94, 44, 67, 110, 56, 61, 111, 71, 31, 41, 69, 24, 39, 60, 115, 99"
values_70,16,"{44, 77, 36, 51, 89, 81, 55, 94, 89, 78, 22, 6, 59, 87, 12, 110"
values_29,19,"{87, 108, 70, 48, 78, 100, 11, 98, 23, 65, 58, 41, 11, 97, 46, 47, 21, 81, 100"
values_51,15,"{91, 97, 101, 12, 24, 51, 23, 45, 36, 5, 14, 14, 33, 32, 32"
values_57,18,"{61, 57, 91, 48, 99, 30, 32, 26, 47, 38, 27, 50, 45, 106, 91, 42, 17, 38"
values_88,23,"{106, 29, 39, 77, 62, 26, 16, 104, 48, 62, 62, 3, 72, 96, 24, 64, 99, 76, 17, 103, 52, 115, 33"
values_23,18,"{49, 89, 75, 105, 52, 112, 71, 17, 108, 101, 33, 80, 51, 83, 58, 67, 19, 78"
values_45,10,"{85, 31, 37, 43, 91, 15, 110, 20, 67, 92"
values_66,16,"{53, 62, 97, 85, 40, 25, 33, 57, 2, 21, 11, 45, 99, 17, 87, 77"
