inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 161, 32, 55, 28, 216, 60, 1275.89, 40099.35, 0.03, 31.43, 2227.74, 0.39
values_84, 167, 32, 61, 32, 228, 64, 1368, 41724, 0.03, 30.50, 2318, 0.40
values_65, 154, 32, 48, 20, 202, 52, 1151.49, 44217.17, 0.03, 38.40, 2456.51, 0.42
values_96, 147, 32, 41, 14, 188, 46, 1038.43, 48657.85, 0.02, 46.86, 2703.21, 0.44
values_28, 149, 32, 43, 16, 192, 48, 1072.31, 46109.45, 0.02, 43, 2561.64, 0.43
values_54, 154, 32, 48, 20, 202, 52, 1151.49, 44217.17, 0.03, 38.40, 2456.51, 0.42
values_15, 150, 32, 44, 17, 194, 49, 1089.25, 45107.92, 0.02, 41.41, 2506.00, 0.42
values_87, 164, 32, 58, 30, 222, 62, 1321.83, 40888.66, 0.03, 30.93, 2271.59, 0.40
values_59, 170, 32, 64, 36, 234, 68, 1424.47, 40518.15, 0.04, 28.44, 2251.01, 0.39
values_5, 152, 32, 46, 18, 198, 50, 1117.48, 45692.66, 0.02, 40.89, 2538.48, 0.43
values_92, 168, 32, 62, 32, 230, 64, 1380, 42780, 0.03, 31, 2376.67, 0.41
values_0, 165, 32, 59, 30, 224, 62, 1333.74, 41968.35, 0.03, 31.47, 2331.58, 0.40
values_77, 167, 32, 61, 30, 228, 62, 1357.56, 44165.85, 0.03, 32.53, 2453.66, 0.42
values_17, 166, 32, 60, 31, 226, 63, 1350.87, 41833.25, 0.03, 30.97, 2324.07, 0.40
values_12, 151, 32, 45, 18, 196, 50, 1106.20, 44247.83, 0.03, 40, 2458.21, 0.42
values_33, 151, 32, 45, 17, 196, 49, 1100.48, 46608.70, 0.02, 42.35, 2589.37, 0.43
values_25, 152, 32, 46, 19, 198, 51, 1123.14, 43506.91, 0.03, 38.74, 2417.05, 0.41
values_19, 165, 32, 59, 32, 224, 64, 1344, 39648, 0.03, 29.50, 2202.67, 0.39
values_97, 151, 32, 45, 18, 196, 50, 1106.20, 44247.83, 0.03, 40, 2458.21, 0.42
values_81, 162, 32, 56, 25, 218, 57, 1271.57, 45573.07, 0.03, 35.84, 2531.84, 0.43
values_8, 159, 32, 53, 26, 212, 58, 1241.89, 40504.78, 0.03, 32.62, 2250.27, 0.39
values_73, 166, 32, 60, 29, 226, 61, 1340.35, 44370.10, 0.03, 33.10, 2465.01, 0.42
values_89, 167, 32, 61, 33, 228, 65, 1373.10, 40610.47, 0.03, 29.58, 2256.14, 0.39
values_82, 170, 32, 64, 34, 234, 66, 1414.39, 42598.05, 0.03, 30.12, 2366.56, 0.41
values_34, 166, 32, 60, 32, 226, 64, 1356, 40680, 0.03, 30, 2260, 0.39
values_70, 161, 32, 55, 27, 216, 59, 1270.65, 41413.81, 0.03, 32.59, 2300.77, 0.40
values_29, 164, 32, 58, 29, 222, 61, 1316.62, 42131.96, 0.03, 32, 2340.66, 0.40
values_51, 160, 32, 54, 25, 214, 57, 1248.24, 43139.12, 0.03, 34.56, 2396.62, 0.41
values_57, 163, 32, 57, 28, 220, 60, 1299.52, 42327.09, 0.03, 32.57, 2351.51, 0.40
values_88, 168, 32, 62, 33, 230, 65, 1385.14, 41638.29, 0.03, 30.06, 2313.24, 0.40
values_23, 163, 32, 57, 30, 220, 62, 1309.92, 39821.66, 0.03, 30.40, 2212.31, 0.39
values_45, 155, 32, 49, 22, 204, 54, 1174.00, 41836.99, 0.03, 35.64, 2324.28, 0.40
values_66, 161, 32, 55, 28, 216, 60, 1275.89, 40099.35, 0.03, 31.43, 2227.74, 0.39
values_36, 166, 32, 60, 33, 226, 65, 1361.06, 39594.33, 0.03, 29.09, 2199.69, 0.39
values_56, 153, 32, 47, 19, 200, 51, 1134.49, 44901.72, 0.03, 39.58, 2494.54, 0.42
values_26, 170, 32, 64, 36, 234, 68, 1424.47, 40518.15, 0.04, 28.44, 2251.01, 0.39
values_43, 165, 32, 59, 30, 224, 62, 1333.74, 41968.35, 0.03, 31.47, 2331.58, 0.40
values_52, 147, 32, 41, 14, 188, 46, 1038.43, 48657.85, 0.02, 46.86, 2703.21, 0.44
values_98, 163, 32, 57, 30, 220, 62, 1309.92, 39821.66, 0.03, 30.40, 2212.31, 0.39
values_61, 173, 32, 67, 39, 240, 71, 1475.94, 40569.41, 0.04, 27.49, 2253.86, 0.39
values_44, 165, 32, 59, 31, 224, 63, 1338.91, 40771.99, 0.03, 30.45, 2265.11, 0.39
values_68, 152, 32, 46, 19, 198, 51, 1123.14, 43506.91, 0.03, 38.74, 2417.05, 0.41
values_41, 170, 32, 64, 34, 234, 66, 1414.39, 42598.05, 0.03, 30.12, 2366.56, 0.41
values_85, 160, 32, 54, 25, 214, 57, 1248.24, 43139.12, 0.03, 34.56, 2396.62, 0.41
values_79, 159, 32, 53, 23, 212, 55, 1225.65, 45189.12, 0.03, 36.87, 2510.51, 0.42
values_71, 173, 32, 67, 35, 240, 67, 1455.86, 44590.96, 0.03, 30.63, 2477.28, 0.42
values_63, 157, 32, 51, 24, 208, 56, 1207.93, 41069.61, 0.03, 34, 2281.65, 0.40
values_20, 162, 32, 56, 28, 218, 60, 1287.70, 41206.47, 0.03, 32, 2289.25, 0.40
values_74, 152, 32, 46, 17, 198, 49, 1111.71, 48130.61, 0.02, 43.29, 2673.92, 0.44
values_72, 147, 32, 41, 14, 188, 46, 1038.43, 48657.85, 0.02, 46.86, 2703.21, 0.44
values_86, 171, 32, 65, 34, 236, 66, 1426.48, 43633.41, 0.03, 30.59, 2424.08, 0.41
values_75, 158, 32, 52, 24, 210, 56, 1219.54, 42277.54, 0.03, 34.67, 2348.75, 0.40
values_55, 163, 32, 57, 28, 220, 60, 1299.52, 42327.09, 0.03, 32.57, 2351.51, 0.40
values_14, 165, 32, 59, 29, 224, 61, 1328.49, 43244.48, 0.03, 32.55, 2402.47, 0.41
values_47, 163, 32, 57, 28, 220, 60, 1299.52, 42327.09, 0.03, 32.57, 2351.51, 0.40
values_91, 164, 32, 58, 28, 222, 60, 1311.33, 43461.21, 0.03, 33.14, 2414.51, 0.41
values_64, 166, 32, 60, 33, 226, 65, 1361.06, 39594.33, 0.03, 29.09, 2199.69, 0.39
values_11, 173, 32, 67, 37, 240, 69, 1466.05, 42475.71, 0.03, 28.97, 2359.76, 0.41
values_49, 158, 32, 52, 24, 210, 56, 1219.54, 42277.54, 0.03, 34.67, 2348.75, 0.40
values_62, 147, 32, 41, 14, 188, 46, 1038.43, 48657.85, 0.02, 46.86, 2703.21, 0.44
values_80, 165, 32, 59, 29, 224, 61, 1328.49, 43244.48, 0.03, 32.55, 2402.47, 0.41
values_39, 152, 32, 46, 19, 198, 51, 1123.14, 43506.91, 0.03, 38.74, 2417.05, 0.41
values_90, 165, 32, 59, 31, 224, 63, 1338.91, 40771.99, 0.03, 30.45, 2265.11, 0.39
values_53, 153, 32, 47, 20, 200, 52, 1140.09, 42867.31, 0.03, 37.60, 2381.52, 0.41
values_94, 158, 32, 52, 24, 210, 56, 1219.54, 42277.54, 0.03, 34.67, 2348.75, 0.40
values_7, 157, 32, 51, 23, 208, 55, 1202.52, 42663.42, 0.03, 35.48, 2370.19, 0.41
values_31, 148, 32, 42, 15, 190, 47, 1055.37, 47280.66, 0.02, 44.80, 2626.70, 0.44
values_93, 159, 32, 53, 26, 212, 58, 1241.89, 40504.78, 0.03, 32.62, 2250.27, 0.39
values_38, 160, 32, 54, 27, 214, 59, 1258.89, 40284.34, 0.03, 32, 2238.02, 0.39
values_58, 155, 32, 49, 22, 204, 54, 1174.00, 41836.99, 0.03, 35.64, 2324.28, 0.40
values_78, 149, 32, 43, 16, 192, 48, 1072.31, 46109.45, 0.02, 43, 2561.64, 0.43
values_50, 173, 32, 67, 36, 240, 68, 1460.99, 43505.07, 0.03, 29.78, 2416.95, 0.41
values_3, 160, 32, 54, 27, 214, 59, 1258.89, 40284.34, 0.03, 32, 2238.02, 0.39
values_13, 165, 32, 59, 32, 224, 64, 1344, 39648, 0.03, 29.50, 2202.67, 0.39
values_83, 167, 32, 61, 30, 228, 62, 1357.56, 44165.85, 0.03, 32.53, 2453.66, 0.42
values_1, 165, 32, 59, 31, 224, 63, 1338.91, 40771.99, 0.03, 30.45, 2265.11, 0.39
values_21, 152, 32, 46, 19, 198, 51, 1123.14, 43506.91, 0.03, 38.74, 2417.05, 0.41
values_32, 162, 32, 56, 28, 218, 60, 1287.70, 41206.47, 0.03, 32, 2289.25, 0.40
values_22, 157, 32, 51, 24, 208, 56, 1207.93, 41069.61, 0.03, 34, 2281.65, 0.40
values_9, 153, 32, 47, 20, 200, 52, 1140.09, 42867.31, 0.03, 37.60, 2381.52, 0.41
values_6, 163, 32, 57, 30, 220, 62, 1309.92, 39821.66, 0.03, 30.40, 2212.31, 0.39
values_76, 171, 32, 65, 33, 236, 65, 1421.28, 44791.82, 0.03, 31.52, 2488.43, 0.42
values_18, 164, 32, 58, 30, 222, 62, 1321.83, 40888.66, 0.03, 30.93, 2271.59, 0.40
values_16, 162, 32, 56, 28, 218, 60, 1287.70, 41206.47, 0.03, 32, 2289.25, 0.40
values_40, 167, 32, 61, 31, 228, 63, 1362.82, 42906.84, 0.03, 31.48, 2383.71, 0.41
values_2, 150, 32, 44, 17, 194, 49, 1089.25, 45107.92, 0.02, 41.41, 2506.00, 0.42
values_60, 166, 32, 60, 30, 226, 62, 1345.65, 43060.75, 0.03, 32, 2392.26, 0.41
values_99, 169, 32, 63, 31, 232, 63, 1386.73, 45091.06, 0.03, 32.52, 2505.06, 0.42
values_48, 150, 32, 44, 17, 194, 49, 1089.25, 45107.92, 0.02, 41.41, 2506.00, 0.42
values_69, 164, 32, 58, 30, 222, 62, 1321.83, 40888.66, 0.03, 30.93, 2271.59, 0.40
values_46, 151, 32, 45, 18, 196, 50, 1106.20, 44247.83, 0.03, 40, 2458.21, 0.42
values_24, 160, 32, 54, 27, 214, 59, 1258.89, 40284.34, 0.03, 32, 2238.02, 0.39
values_95, 173, 32, 67, 34, 240, 66, 1450.65, 45738.29, 0.03, 31.53, 2541.02, 0.43
values_42, 156, 32, 50, 22, 206, 54, 1185.51, 43109.34, 0.03, 36.36, 2394.96, 0.41
values_37, 170, 32, 64, 36, 234, 68, 1424.47, 40518.15, 0.04, 28.44, 2251.01, 0.39
values_10, 160, 32, 54, 26, 214, 58, 1253.61, 41658.36, 0.03, 33.23, 2314.35, 0.40
values_67, 148, 32, 42, 15, 190, 47, 1055.37, 47280.66, 0.02, 44.80, 2626.70, 0.44
values_35, 148, 32, 42, 15, 190, 47, 1055.37, 47280.66, 0.02, 44.80, 2626.70, 0.44
values_30, 153, 32, 47, 20, 200, 52, 1140.09, 42867.31, 0.03, 37.60, 2381.52, 0.41
values_4, 172, 32, 66, 36, 238, 68, 1448.82, 42498.61, 0.03, 29.33, 2361.03, 0.41
