inputName,n,arr[n]
values_27,27,"{-100, -42, -91, -12, -96, -37, -14, 99, -54, 114, 104, -23, 71, 50, -121, -22, -122, -60, -73, -40, -72, -12, -81, 49, -30, -105, 31"
values_84,23,"{8, -108, -8, -54, -124, -127, 39, 73, 66, -36, 109, -86, 65, 121, -101, -17, -64, -11, 0, 34, -5, 2, 106"
values_65,14,"{99, 18, -56, -24, -5, 62, 70, 47, -56, 83, 69, -9, 17, -124"
values_96,8,"{99, 11, -64, 112, -7, -18, 78, 15"
values_28,27,"{88, -117, -111, 3, -18, 41, -8, -12, -41, 21, -121, 28, 40, 98, 52, -115, -15, 123, 7, 42, 81, 96, 50, -29, 119, 102, -43"
values_54,20,"{-38, -20, 46, 124, -47, -78, -21, 115, -111, 39, -26, -99, 94, 37, 122, 0, -20, 76, 23, -20"
values_15,13,"{-21, 53, -26, -90, 73, -122, -68, 106, 21, -64, 70, -69, -37"
values_87,4,"{42, 69, -58, -71"
values_59,15,"{-32, -21, 27, -33, -2, 110, -55, -50, -5, -108, 5, -85, 31, 51, 43"
values_5,18,"{112, 28, -115, -125, 12, -66, 124, -36, -67, 105, -2, 7, -6, -44, 55, 23, -80, 55"
values_92,20,"{-116, 32, -44, -115, 53, -11, -82, 73, 94, 2, -81, 18, 73, 114, 38, -94, -38, -113, 86, 89"
values_0,21,"{104, -51, 91, -21, -56, -25, -98, 85, 92, 95, -115, -116, -76, 107, 99, -69, 109, 111, -103, 23, 51"
values_77,16,"{17, -97, -72, 113, -107, -36, 97, 99, 5, -44, 115, 107, 17, -27, 1, 99"
values_17,5,"{-64, 46, -72, -13, -96"
values_12,16,"{60, -58, 114, 84, -46, -72, -124, -67, 118, 108, -45, -98, 18, -124, -107, 92"
values_33,27,"{89, -89, -16, 122, -24, -124, -43, -11, -49, 28, -73, 16, 74, 101, 40, 62, 105, -122, -59, -25, 96, -91, -118, -108, -69, 77, -33"
values_25,10,"{-91, -127, 46, 110, -64, 34, 120, -91, -31, -38"
values_19,3,"{-97, -73, -122"
values_97,24,"{-8, 126, -99, 40, 62, -46, -127, 67, -112, 80, 73, -48, 25, 91, -42, 41, 112, 34, 30, -119, -3, 24, -59, 88"
values_81,20,"{-6, 99, -78, -34, 46, -25, -59, -19, 112, -37, -86, 18, -4, 20, -48, 113, 86, 71, 76, 43"
values_8,27,"{-35, -116, -4, 52, 22, 42, -79, -7, -71, 91, -55, 51, -126, -70, -17, -20, 80, 91, -27, -62, 59, 21, 85, 20, -57, 55, -81"
values_73,22,"{10, 62, 13, -70, -111, 27, 30, -116, 11, 71, 57, -32, -14, 23, -28, 36, 79, -83, -54, -53, 80, -108"
values_89,13,"{-110, 92, -34, -96, -123, -109, -44, 47, -32, -89, -115, 98, 117"
values_82,7,"{53, -27, -60, 14, -14, 27, 56"
values_34,8,"{-99, -54, 74, 12, 117, 107, 34, -122"
values_70,7,"{117, -16, -93, -103, -63, -118, -70"
