inputName,size,a[size]
values_27,11,"{-62, -46, -26, 32, 17, 56, -58, -123, -111, -77, 78"
values_84,18,"{4, 67, 40, -53, 21, 0, 79, -95, -45, -38, 38, 15, -51, -54, -62, -30, -60, -83"
values_65,15,"{-35, -30, -53, -123, -100, 13, -29, -45, -4, 40, -53, -69, 30, -120, -67"
values_96,18,"{-23, -36, -49, 26, 27, 80, -106, 40, -21, 74, -88, 66, 96, 92, -35, 39, -41, -65"
values_28,15,"{-54, -121, 56, 15, -8, -78, -50, 11, 28, 44, 52, -114, 91, 58, -104"
values_54,3,"{-38, -51, 67"
values_15,24,"{-109, 124, -61, -55, -56, -111, -106, -25, -55, 83, 117, 31, 49, 11, -89, 68, -41, 102, -103, -118, 126, -82, 41, 17"
values_87,8,"{-109, 69, 97, 65, 109, -125, -80, -67"
values_59,7,"{-4, -101, -60, -28, -83, 1, 10"
values_5,7,"{-110, 39, -94, -34, -105, 64, -126"
values_92,3,"{-42, -30, 85"
values_0,13,"{-33, -61, 4, 21, 34, -17, 101, -80, -90, -95, -115, 6, 46"
values_77,12,"{-24, -41, -58, 110, 0, -95, -30, -45, -110, 84, 71, -117"
values_17,24,"{79, 1, 3, 36, 41, 116, -125, 32, -81, 121, 110, 103, 102, -28, -30, 21, -30, -91, 41, -45, 77, 21, -42, -82"
values_12,22,"{-17, -15, -50, 23, -125, 57, 16, -34, 37, -63, 70, 90, -71, 70, 105, -92, 50, 14, 79, -91, -111, 17"
values_33,15,"{-88, 60, -104, 100, 69, 32, 50, -95, -98, 3, -75, 6, 26, 64, 11"
values_25,9,"{-37, -43, -80, 2, 108, -14, 55, 61, 31"
values_19,2,"{64, -50"
values_97,6,"{111, 90, 64, 87, -93, -61"
values_81,25,"{-79, 120, 62, -74, 106, -67, -69, 109, -66, -46, -83, -24, 120, -117, 19, 22, 113, 89, 86, -126, -22, 68, 116, 30, -90"
values_8,16,"{89, -87, -26, 82, 28, -56, 28, -125, 29, -97, 30, 91, 25, 28, 71, -24"
values_73,12,"{-27, -22, -98, 12, -55, -82, -25, -58, -64, 92, 73, -113"
values_89,4,"{80, 77, 69, -80"
values_82,24,"{15, -19, -126, 16, -60, -28, 109, -48, -89, 94, 40, 55, -105, 97, -30, 3, 118, -24, 34, -114, 101, -18, 61, 87"
values_34,18,"{94, -48, 23, 117, 69, -90, 71, -100, -40, -107, 85, -32, 18, 101, -14, 96, -65, 95"
values_70,25,"{122, -125, 17, -15, -60, 65, -73, 70, 20, -104, -26, -70, 125, -102, -74, -3, 107, 102, 60, -116, -11, 124, 104, 114, -78"
values_29,6,"{-64, -106, -49, 70, 68, -103"
values_51,7,"{-70, 0, 76, 42, -95, -82, 95"
values_57,22,"{79, 72, -89, 79, 92, -98, 48, -116, 103, -35, 105, 109, -74, -83, -83, 55, -78, -70, 103, -105, -30, 45"
values_88,10,"{-115, 119, 83, -53, 17, -116, 71, 24, 118, -40"
values_23,14,"{26, 52, 11, -104, -75, -40, -112, 103, -70, 76, 124, -102, -126, -99"
values_45,18,"{67, 118, -36, -118, 58, 72, 120, 116, -39, 35, 112, -25, -122, 38, -73, -63, -18, 74"
values_66,20,"{87, -42, -109, 0, -42, 43, -113, 3, -81, -115, -27, 61, 51, 52, -123, 25, -4, -98, -12, 87"
values_36,23,"{86, -84, -5, 111, 21, -42, -104, 79, -58, 120, -103, -9, -98, 71, 10, 43, -77, -44, -91, -43, -41, 22, 99"
values_56,13,"{-96, -18, -71, -51, 84, 15, 21, 74, -76, -66, -111, 87, -107"
values_26,19,"{-35, -78, 6, -120, -69, 91, 17, 79, 37, 73, 84, 7, 97, 37, 112, -125, 99, -42, -11"
values_43,11,"{46, 124, 33, 0, -73, 108, 38, -72, 103, -91, -67"
values_52,3,"{-109, 123, -12"
values_98,25,"{121, -88, 92, -4, -26, 18, -108, -80, -51, -38, -26, -52, 88, 35, 70, -101, -109, 43, 123, -4, -45, -84, -1, -20, -81"
values_61,8,"{84, 68, 120, -109, 63, -105, -27, 31"
values_44,13,"{20, -108, 32, 15, 95, -24, 83, 50, 109, -108, -120, -62, 20"
values_68,10,"{117, 121, 63, -99, -72, -5, -53, -76, -88, -86"
values_41,13,"{40, 43, 42, -45, 28, -83, -57, 100, -17, 52, 42, -7, 115"
values_85,3,"{-41, 30, -119"
values_79,25,"{-84, 107, 38, -116, 88, 85, -3, 98, 102, -76, 86, 124, -77, -36, -114, -88, -58, -20, 121, -79, -63, -40, -48, 39, 35"
values_71,4,"{-41, 36, 52, 18"
values_63,7,"{-103, -43, -52, 99, 31, -24, -37"
values_20,17,"{-69, 42, 111, -39, 48, 90, -109, -45, -4, -101, -25, -17, 40, 12, -72, -45, 37"
values_74,12,"{109, 18, 57, -54, 113, 40, -35, 66, 73, -45, -91, 86"
values_72,6,"{11, 38, -97, 25, 46, 64"
values_86,15,"{-103, 59, -63, -34, 87, -51, -63, -80, -29, -97, -90, -104, 106, 7, -6"
values_75,19,"{26, -97, 14, -84, 89, 20, -40, -100, -53, 105, 90, 108, 66, 72, -37, 63, -21, -28, 113"
values_55,24,"{-8, -34, -118, -69, 77, 86, -69, 18, -106, -64, -125, 71, 73, 65, -42, -120, 43, 50, -124, 68, -15, -120, -70, -6"
values_14,9,"{-65, 65, 61, 30, 65, 81, -6, 15, -2"
values_47,17,"{74, 53, -115, 90, 50, -78, 107, -72, -85, 29, 19, 16, 13, 99, 94, -110, 33"
values_91,2,"{112, -63"
values_64,5,"{106, -89, -113, -111, 33"
values_11,15,"{-37, -89, 22, -76, -52, 90, 120, -23, -37, 126, 64, -35, 64, 112, 49"
