id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,,,637,0
values_84,,,1269,0
values_65,,,846,0
values_96,,,1263,0
values_28,,,841,0
values_54,,,108,0
values_15,,,1594,0
values_87,,,384,0
values_59,,,326,0
values_5,,,326,0
values_92,,,106,0
values_0,,,721,0
values_77,,,710,0
values_17,,,1591,0
values_12,,,1484,0
values_33,,,840,0
values_25,,,488,0
values_19,,,56,0
values_97,,,308,0
values_81,,,1609,0
values_8,,,910,0
values_73,,,702,0
values_89,,,157,0
values_82,,,1594,0
values_34,,,1279,0
values_70,,,1617,0
values_29,,,311,0
values_51,,,324,0
values_57,,,1488,0
values_88,,,626,0
values_23,,,811,0
values_45,,,1275,0
values_66,,,1370,0
values_36,,,1514,0
values_56,,,716,0
values_26,,,1305,0
values_43,,,649,0
values_52,,,108,0
values_98,,,1613,0
values_61,,,386,0
values_44,,,727,0
values_68,,,617,0
values_41,,,723,0
values_85,,,107,0
values_79,,,1613,0
values_71,,,154,0
values_63,,,328,0
values_20,,,1082,0
values_74,,,707,0
values_72,,,307,0
values_86,,,846,0
values_75,,,1303,0
values_55,,,1581,0
values_14,,,485,0
values_47,,,1085,0
values_91,,,56,0
values_64,,,227,0
values_11,,,844,0
values_49,,,383,0
values_62,,,618,0
values_80,,,107,0
values_39,,,1525,0
values_90,,,698,0
values_53,,,54,0
values_94,,,311,0
values_7,,,1073,0
values_31,,,56,0
values_93,,,388,0
values_38,,,1530,0
values_58,,,56,0
values_78,,,908,0
values_50,,,309,0
values_3,,,1305,0
values_13,,,848,0
values_83,,,1301,0
values_1,,,813,0
values_21,,,1266,0
values_32,,,330,0
values_22,,,54,0
values_9,,,1300,0
values_6,,,815,0
values_76,,,721,0
values_18,,,228,0
values_16,,,1371,0
values_40,,,489,0
values_2,,,1574,0
values_60,,,1303,0
values_99,,,1592,0
values_48,,,329,0
values_69,,,640,0
values_46,,,619,0
values_24,,,158,0
values_95,,,389,0
values_42,,,708,0
values_37,,,620,0
values_10,,,645,0
values_67,,,156,0
values_35,,,1616,0
values_30,,,1486,0
values_4,,,1390,0
