inputName,size,arr[size]
values_27,6,"{-125, 12, 88, 85, -67, -72"
values_84,5,"{-12, -4, 92, 1, -42"
values_65,16,"{-99, -99, -122, 38, -67, -10, 119, -41, -44, -12, -115, -70, -56, -21, -42, -86"
values_96,14,"{93, -103, 35, -29, -27, 106, 120, 39, -54, -91, -74, 2, 15, 16"
values_28,19,"{46, -26, -77, -13, -66, -124, -24, 109, -109, 90, -82, 17, 95, 124, -82, 81, 64, 41, -39"
values_54,9,"{21, -11, 100, 0, -82, -110, -22, -91, 13"
values_15,26,"{57, 69, 119, 63, -122, 76, 95, -78, 71, 109, -88, -4, 76, -49, -2, -88, 123, 6, -20, -52, 8, 52, 107, 28, 42, -119"
values_87,18,"{-109, -51, -12, 67, -93, -103, -33, 79, 39, 26, 5, -101, 19, 60, -26, 98, 116, 28"
values_59,4,"{122, -126, 60, 48"
values_5,13,"{72, 5, 90, 88, -43, 75, 114, -18, -10, -117, 38, -117, -62"
values_92,19,"{-28, -96, 15, -118, 14, -121, 50, -7, -92, -75, 8, 91, -10, -85, -3, -2, 22, 43, -82"
values_0,3,"{17, -47, -69"
values_77,11,"{90, -87, 84, 43, 80, 27, -98, -101, -126, -17, -1"
values_17,17,"{-44, 3, -96, -72, -109, 119, -82, -73, 27, 111, 70, 79, 24, 26, -62, -22, 7"
values_12,15,"{55, -69, -72, 12, -1, 58, 104, -22, -79, -8, 42, -91, 102, -44, 5"
values_33,19,"{25, -126, 64, -47, -121, 102, 35, 44, -66, -30, -109, -33, 105, 105, 24, -73, 113, -72, 29"
values_25,10,"{114, 67, 80, 49, -48, -124, 18, 1, -17, 115"
values_19,21,"{35, 102, -5, 3, 38, -115, -96, 45, -29, -4, -41, 34, -32, 84, -87, -106, 3, -11, -71, -44, -4"
values_97,6,"{-15, -3, -14, 110, 20, 58"
values_81,2,"{18, -77"
values_8,17,"{38, 62, -5, 85, -101, 20, -93, -104, 103, 86, -38, 112, -2, -103, 60, -85, 123"
values_73,19,"{23, 14, -32, -110, -55, 4, 61, -107, 114, -23, 115, -3, -33, -120, -25, -31, 81, 95, -3"
values_89,17,"{119, -51, -6, -33, -95, -11, -101, 121, 124, 100, -72, -97, 66, 44, 85, -5, 8"
values_82,8,"{-93, 89, -10, 10, 98, -63, -4, -67"
values_34,22,"{45, -49, 23, 111, 62, 58, 14, -75, -46, 80, -38, -49, 42, 27, -18, -51, 5, 25, -23, -113, 35, 67"
values_70,7,"{25, -23, 126, -44, -71, 109, 123"
values_29,4,"{67, 117, -125, 68"
values_51,17,"{67, -93, -77, 20, -28, 74, -97, -124, -52, -114, -69, -76, 86, -6, 67, -13, 58"
values_57,28,"{-58, -81, -38, -119, -62, 1, -120, -41, -102, 54, 45, 92, -99, -94, 66, -107, 80, 99, 45, 126, -44, -7, 81, -18, -59, -56, 82, -44"
