id,cInstr
values_27,113
values_84,88
values_65,432
values_96,356
values_28,536
values_54,200
values_15,864
values_87,476
values_59,78
values_5,347
values_92,564
values_0,45
values_77,270
values_17,460
values_12,396
values_33,528
values_25,233
values_19,592
values_97,109
values_81,31
values_8,452
values_73,540
values_89,484
values_82,183
values_34,660
values_70,142
values_29,74
values_51,472
values_57,884
values_88,146
values_23,192
values_45,163
values_66,660
values_36,760
values_56,408
values_26,836
values_43,832
values_52,924
values_98,221
values_61,424
values_44,208
values_68,92
values_41,808
values_85,175
values_79,295
values_71,756
values_63,275
values_20,748
values_74,45
values_72,888
values_86,66
values_75,221
values_55,237
values_14,824
values_47,327
values_91,41
values_64,796
values_11,688
values_49,125
values_62,27
values_80,736
values_39,852
values_90,229
values_53,167
values_94,163
values_7,380
values_31,266
values_93,732
values_38,492
values_58,323
values_78,548
values_50,150
values_3,27
values_13,424
values_83,82
values_1,254
values_21,464
values_32,275
values_22,100
values_9,45
values_6,171
values_76,416
values_18,175
values_16,323
values_40,852
values_2,319
values_60,384
values_99,420
values_48,456
values_69,836
values_46,45
values_24,804
values_95,208
values_42,74
values_37,432
values_10,816
values_67,31
values_35,708
values_30,644
values_4,295
