inputName,m,n
values_27,62,12
values_84,107,74
values_65,127,70
values_96,93,89
values_28,62,115
values_54,41,74
values_15,78,70
values_87,107,12
values_59,41,126
values_5,123,70
values_92,93,114
values_0,123,70
values_77,81,12
values_17,78,12
values_12,78,114
values_33,80,52
values_25,62,70
values_19,78,126
values_97,93,12
values_81,107,60
values_8,123,115
values_73,81,52
values_89,107,126
values_82,107,114
values_34,80,74
values_70,81,70
values_29,62,126
values_51,41,60
values_57,41,12
values_88,107,115
values_23,62,52
values_45,101,70
values_66,127,89
values_36,80,89
values_56,41,89
values_26,62,89
values_43,101,52
values_52,41,114
values_98,93,115
values_61,127,60
values_44,101,74
values_68,127,115
values_41,101,60
values_85,107,70
values_79,81,126
values_71,81,60
values_63,127,52
values_20,62,70
values_74,81,74
values_72,81,114
values_86,107,89
values_75,81,70
values_55,41,70
values_14,78,74
values_47,101,12
values_91,93,60
values_64,127,74
values_11,78,60
values_49,101,126
values_62,127,114
values_80,107,70
values_39,80,126
values_90,93,70
values_53,41,52
values_94,93,74
values_7,123,12
values_31,80,60
values_93,93,52
values_38,80,115
values_58,41,115
values_78,81,115
values_50,41,70
values_3,123,52
values_13,78,52
values_83,107,52
values_1,123,60
values_21,62,60
values_32,80,114
values_22,62,114
values_9,123,126
values_6,123,89
values_76,81,89
values_18,78,115
values_16,78,89
values_40,101,70
values_2,123,114
values_60,127,70
values_99,93,126
values_48,101,115
values_69,127,126
values_46,101,89
values_24,62,74
values_95,93,70
values_42,101,114
values_37,80,12
values_10,78,70
values_67,127,12
values_35,80,70
values_30,80,70
values_4,123,74
