inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_27, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_84, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_65, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_96, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_28, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_54, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_15, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_87, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_59, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_5, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_92, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_0, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_77, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_17, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_12, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_33, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_25, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_19, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_97, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_81, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_8, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_73, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_89, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_82, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_34, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_70, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_29, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_51, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_57, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_88, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_23, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_45, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_66, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_36, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_56, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_26, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_43, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_52, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_98, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_61, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_44, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_68, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_41, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_85, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_79, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_71, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_63, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_20, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_74, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_72, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_86, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_75, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_55, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_14, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_47, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_91, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_64, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_11, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
values_49, 74, 12, 6, 12, 5, 0, 27, 9, 9, 9, 13, 21, 9, 9, 100.0
