inputName,n,arr[n]
values_27,13,"{-34, -82, -104, 124, -23, -101, 72, 22, -51, -102, -30, 16, -119"
values_84,8,"{121, -90, 57, 90, -22, -113, -34, -12"
values_65,13,"{-62, 70, -74, -90, 110, 14, 84, -1, 113, -98, -61, -94, 20"
values_96,2,"{78, 12"
values_28,14,"{-50, -46, 116, -44, 80, -21, -110, 108, -104, -104, 49, 24, 119, 29"
values_54,9,"{67, 63, 105, 40, -74, -51, 20, 10, -27"
values_15,9,"{97, 60, -45, 21, -6, 21, -62, 4, 68"
values_87,22,"{-115, -20, 85, 108, -13, 84, -4, -53, -115, -29, 59, -100, 81, -112, -25, -57, 51, -122, 73, -27, 122, 4"
values_59,28,"{111, 64, -45, 100, -4, 60, 51, 81, -10, -126, 25, -41, -77, -21, -57, 30, -27, -100, 108, -28, -4, 97, -88, 119, 25, 58, 39, 35"
values_5,10,"{63, 114, -83, 70, -51, -78, -58, -73, 77, 14"
values_92,19,"{-84, -127, -80, 94, -119, 59, -43, 99, 27, 30, -47, -113, -46, -119, 5, -98, 67, 63, 65"
values_0,8,"{98, 27, -92, 48, 69, 93, 97, 114"
values_77,24,"{-87, 61, 54, 18, -32, -96, -77, 27, 16, 12, -19, -110, -123, 72, -38, -46, 121, -58, 46, -62, 123, 58, -56, 120"
values_17,13,"{75, -57, 76, -125, -98, -55, 1, 84, 79, -34, 59, -33, 64"
values_12,8,"{-1, 90, -18, 41, 2, 24, -21, 3"
values_33,14,"{-61, -127, 99, 69, 74, 107, 52, -12, 57, 43, 27, 92, 33, 22"
values_25,3,"{21, -120, -62"
values_19,23,"{35, -93, -55, -67, 63, 55, -113, 32, 93, 64, 31, -86, 109, -119, 29, 121, -36, 31, 64, -99, 47, 97, 0"
values_97,3,"{-27, 127, -6"
values_81,21,"{62, -29, -28, 7, 36, 65, 33, -83, 22, -84, 121, -46, 4, 89, -48, 49, 110, -15, 18, 58, -90"
values_8,22,"{-23, -63, -87, -63, 41, -113, 63, 17, 36, 3, 43, -97, 26, -54, 109, -2, -56, 97, 87, 95, 101, -19"
values_73,23,"{-81, 102, 84, 56, -127, 109, -90, 89, 119, 98, -79, 81, -15, 89, 38, 99, 70, 82, 66, -11, 81, 109, -29"
values_89,3,"{-14, -105, 80"
values_82,18,"{115, 1, 100, 79, 89, -29, 19, 84, -85, -85, 14, 93, 26, -109, 61, 122, -25, -4"
values_34,7,"{-77, -114, -89, -50, -79, 88, -37"
values_70,20,"{93, 38, 81, -70, -61, 108, -101, -114, -105, 17, -95, -81, -20, 20, 65, 95, 74, 38, 124, 105"
values_29,17,"{-125, 104, -60, 110, -73, 27, 54, 61, 10, 37, -22, 125, 14, 23, 53, -24, -61"
values_51,17,"{40, -44, 0, -8, 91, -19, 35, 125, 4, -69, 2, -102, 33, 22, 78, -2, 28"
values_57,16,"{116, 44, 52, 12, -37, -67, -107, 25, -109, 6, -56, -19, -88, 43, 46, 98"
values_88,19,"{53, 119, -122, -46, -37, -20, -105, 63, 4, -10, -26, 18, -106, 60, 75, -5, -18, -54, -32"
values_23,9,"{110, 93, 33, 109, 83, -25, -122, -119, 124"
values_45,7,"{-28, 82, -22, 45, 27, 19, -113"
values_66,10,"{22, -30, 91, 68, 84, 1, 80, 118, -88, -44"
values_36,7,"{127, -78, 60, 121, 36, -79, 13"
values_56,13,"{-54, 127, -6, 33, -69, -49, 93, 39, 118, 124, -13, 110, 42"
values_26,22,"{70, -104, 43, 29, 116, -55, -87, 16, -23, 31, -23, -77, 14, -48, 107, -78, 25, -26, 1, 50, 33, -81"
values_43,22,"{-51, 119, -123, 90, -72, -124, 83, -75, -78, 32, -30, 105, 90, 83, 39, -20, 27, 86, -113, -9, 57, 55"
values_52,12,"{-66, -80, 111, 32, -49, 81, -60, 26, -26, 48, 116, 69"
values_98,9,"{36, -104, 111, 36, -14, 76, 76, -18, -19"
values_61,3,"{88, 66, -91"
values_44,26,"{15, -42, 106, -4, 13, 3, -93, -110, 92, 48, -80, 45, -104, -90, 100, -115, 54, 6, 115, 94, -56, 38, 82, -108, 47, -30"
values_68,25,"{-21, -124, 121, 51, 38, -22, -78, 118, 82, -73, 2, -38, 14, -10, -120, 107, 47, -27, -126, 28, -104, 17, 22, -96, -82"
values_41,10,"{12, 30, 75, 58, 34, -27, 90, -28, 75, 17"
values_85,3,"{51, -24, 114"
values_79,3,"{53, 103, -113"
values_71,2,"{42, -73"
values_63,28,"{-98, -5, -1, -14, 7, -32, 4, 123, 86, -68, 4, -105, 110, -112, -57, -108, -86, 64, 1, -124, -122, 89, 52, 15, -98, 40, -122, 106"
values_20,22,"{117, -111, -103, -85, -86, 102, 42, 102, -67, 35, -66, 115, 20, 14, 31, 31, -113, -111, 102, 23, -106, 58"
values_74,21,"{-73, 33, 32, -26, 4, 100, -33, -66, 49, -57, -106, 45, -122, 107, -106, 61, 5, 89, -13, -74, -38"
values_72,6,"{124, 74, 61, -60, 104, 93"
values_86,19,"{-8, 71, -90, -60, -121, 104, 77, 29, -125, 109, 67, -124, 79, -22, 88, -26, 113, -92, 66"
values_75,11,"{1, 12, -93, 126, -75, -39, 111, -71, 26, -125, 33"
values_55,7,"{-103, 75, -3, 31, 7, -4, 107"
values_14,11,"{32, -8, -82, 94, -63, 33, 17, -87, 76, 115, 9"
values_47,8,"{-105, 112, 19, -33, 36, 33, -69, -67"
values_91,2,"{92, 40"
values_64,21,"{93, 26, 86, -62, -75, -4, -84, -84, 55, 119, -44, -87, 53, -80, 83, -61, 118, -102, -8, -63, 86"
values_11,28,"{-108, -112, 79, -53, -28, 24, -22, 24, -4, -118, -105, -66, 92, 24, -81, -46, -109, -125, -67, 101, -73, 69, 9, 71, -90, 6, 49, -109"
values_49,8,"{98, -91, 42, -123, -29, -62, 120, 34"
values_62,28,"{-29, -37, -87, -17, 71, -4, -13, -123, -14, 98, -60, 78, -13, -73, -39, 76, -93, -8, 41, 71, 44, -118, 78, -96, 66, -79, -125, 50"
values_80,13,"{52, -120, 27, 92, -27, -90, 79, -28, 80, -35, 24, 53, 10"
values_39,17,"{-105, 1, 125, -93, -4, 49, 28, 6, -77, -34, 36, 86, 40, -15, 7, -120, 10"
