id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,9832,,14040,0.700
values_84,1105,,1871,0.591
values_65,1830,,2662,0.687
values_96,14666,,20516,0.715
values_28,16318,,24263,0.673
values_54,18212,,26626,0.684
values_15,16418,,12667,1.296
values_87,1220,,2113,0.577
values_59,14141,,21152,0.669
values_5,520,,833,0.624
values_92,14493,,20186,0.718
values_0,649,,1053,0.616
values_77,1656,,2570,0.644
values_17,2403,,3639,0.660
values_12,1445,,2199,0.657
values_33,6314,,9409,0.671
values_25,15441,,21339,0.724
values_19,12848,,15824,0.812
values_97,14895,,20799,0.716
values_81,3653,,11505,0.318
values_8,696,,1002,0.695
values_73,9866,,19081,0.517
values_89,1049,,1654,0.634
values_82,1042,,1750,0.595
values_34,5570,,8546,0.652
values_70,2090,,3140,0.666
values_29,18128,,25133,0.721
values_51,18562,,27224,0.682
values_57,12701,,18243,0.696
values_88,571,,932,0.613
values_23,13171,,18150,0.726
values_45,3083,,4624,0.667
values_66,1479,,2228,0.664
values_36,5555,,8279,0.671
values_56,14562,,20603,0.707
values_26,13743,,19044,0.722
values_43,3357,,5060,0.663
values_52,11639,,16141,0.721
values_98,18087,,26094,0.693
values_61,1744,,2495,0.699
values_44,12567,,18128,0.693
values_68,2007,,3089,0.650
values_41,9845,,12980,0.758
values_85,646,,1053,0.613
values_79,8470,,12578,0.673
values_71,1653,,12428,0.133
values_63,2208,,3259,0.678
values_20,16505,,22993,0.718
values_74,1744,,2659,0.656
values_72,1441,,2222,0.649
values_86,1104,,1864,0.592
values_75,2122,,3062,0.693
values_55,14715,,21467,0.685
values_14,8690,,15157,0.573
values_47,3278,,4947,0.663
values_91,19892,,28052,0.709
values_64,752,,1136,0.662
values_11,1848,,2810,0.658
values_49,3817,,6287,0.607
values_62,1186,,1866,0.636
values_80,551,,912,0.604
values_39,7486,,11097,0.675
values_90,13445,,18990,0.708
values_53,13544,,18901,0.717
values_94,17380,,26226,0.663
values_7,585,,935,0.626
values_31,3697,,5457,0.677
values_93,13063,,17868,0.731
values_38,12834,,18932,0.678
values_58,14265,,20306,0.703
values_78,2010,,3087,0.651
values_50,9330,,13312,0.701
values_3,638,,1050,0.608
values_13,2115,,3182,0.665
values_83,648,,1062,0.610
values_1,714,,1127,0.634
values_21,16004,,23866,0.671
values_32,2663,,3956,0.673
values_22,9924,,14214,0.698
values_9,583,,937,0.622
values_6,523,,849,0.616
values_76,1205,,1848,0.652
values_18,2312,,3530,0.655
values_16,1362,,2061,0.661
values_40,2269,,3405,0.666
values_2,593,,957,0.620
values_60,1243,,1900,0.654
values_99,13265,,18014,0.736
values_48,3465,,5312,0.652
values_69,2016,,2800,0.720
values_46,2383,,3583,0.665
values_24,14157,,20810,0.680
values_95,13568,,19369,0.701
values_42,2113,,3192,0.662
values_37,2190,,3210,0.682
values_10,1515,,2301,0.658
values_67,11304,,16942,0.667
values_35,7041,,10483,0.672
values_30,14832,,21629,0.686
values_4,397,,647,0.614
