id,clockCycles,assemblyInstr
values_27,9832,
values_84,1105,
values_65,1830,
values_96,14666,
values_28,16318,
values_54,18212,
values_15,16418,
values_87,1220,
values_59,14141,
values_5,520,
values_92,14493,
values_0,649,
values_77,1656,
values_17,2403,
values_12,1445,
values_33,6314,
values_25,15441,
values_19,12848,
values_97,14895,
values_81,3653,
values_8,696,
values_73,9866,
values_89,1049,
values_82,1042,
values_34,5570,
values_70,2090,
values_29,18128,
values_51,18562,
values_57,12701,
values_88,571,
values_23,13171,
values_45,3083,
values_66,1479,
values_36,5555,
values_56,14562,
values_26,13743,
values_43,3357,
values_52,11639,
values_98,18087,
values_61,1744,
values_44,12567,
values_68,2007,
values_41,9845,
values_85,646,
values_79,8470,
values_71,1653,
values_63,2208,
values_20,16505,
values_74,1744,
values_72,1441,
values_86,1104,
values_75,2122,
values_55,14715,
values_14,8690,
values_47,3278,
values_91,19892,
values_64,752,
values_11,1848,
values_49,3817,
values_62,1186,
values_80,551,
values_39,7486,
values_90,13445,
values_53,13544,
values_94,17380,
values_7,585,
values_31,3697,
values_93,13063,
values_38,12834,
values_58,14265,
values_78,2010,
values_50,9330,
values_3,638,
values_13,2115,
values_83,648,
values_1,714,
values_21,16004,
values_32,2663,
values_22,9924,
values_9,583,
values_6,523,
values_76,1205,
values_18,2312,
values_16,1362,
values_40,2269,
values_2,593,
values_60,1243,
values_99,13265,
values_48,3465,
values_69,2016,
values_46,2383,
values_24,14157,
values_95,13568,
values_42,2113,
values_37,2190,
values_10,1515,
values_67,11304,
values_35,7041,
values_30,14832,
values_4,397,
