id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,12771,,4752,2.688
values_84,11006,,4127,2.667
values_65,1299,,572,2.271
values_96,1587,,686,2.313
values_28,10207,,3843,2.656
values_54,289,,152,1.901
values_15,3721,,1453,2.561
values_87,1109,,464,2.390
values_59,1908,,813,2.347
values_5,6571,,2490,2.639
values_92,11030,,4137,2.666
values_0,2250,,949,2.371
values_77,11874,,4446,2.671
values_17,9391,,3544,2.650
values_12,166,,105,1.581
values_33,11876,,4458,2.664
values_25,6564,,2495,2.631
values_19,7946,,2995,2.653
values_97,285,,154,1.851
values_81,3973,,1638,2.426
values_8,1576,,683,2.307
values_73,810,,366,2.213
values_89,7237,,2725,2.656
values_82,3974,,1643,2.419
values_34,287,,152,1.888
values_70,6556,,2495,2.628
values_29,1290,,567,2.275
values_51,594,,283,2.099
values_57,3967,,1636,2.425
values_88,11036,,4133,2.670
values_23,1904,,819,2.325
values_45,801,,363,2.207
values_66,4759,,1833,2.596
values_36,1582,,683,2.316
values_56,83,,69,1.203
values_26,5326,,2047,2.602
values_43,8660,,3262,2.655
values_52,11894,,4456,2.669
values_98,84,,68,1.235
values_61,1108,,463,2.393
values_44,165,,104,1.587
values_68,7932,,3005,2.640
values_41,8641,,3269,2.643
values_85,1905,,814,2.340
values_79,11873,,4451,2.667
values_71,2250,,959,2.346
values_63,7224,,2742,2.635
values_20,5935,,2269,2.616
values_74,7938,,2989,2.656
values_72,5946,,2266,2.624
values_86,2257,,956,2.361
values_75,10209,,3827,2.668
values_55,11028,,4145,2.661
values_14,2654,,1111,2.389
values_47,287,,152,1.888
values_91,1581,,684,2.311
values_64,3969,,1624,2.444
values_11,3965,,1626,2.438
values_49,3967,,1634,2.428
values_62,2258,,953,2.369
values_80,11068,,4129,2.681
values_39,11872,,4454,2.665
values_90,801,,369,2.171
values_53,2247,,950,2.365
values_94,83,,69,1.203
values_7,417,,214,1.949
values_31,3725,,1449,2.571
values_93,1288,,567,2.272
values_38,84,,68,1.235
values_58,7257,,2739,2.650
values_78,7223,,2739,2.637
values_50,288,,153,1.882
values_3,6568,,2493,2.635
values_13,3721,,1447,2.572
values_83,803,,367,2.188
values_1,1905,,812,2.346
values_21,11894,,4442,2.678
values_32,3069,,1272,2.413
values_22,10179,,3815,2.668
values_9,1910,,813,2.349
values_6,7911,,2992,2.644
values_76,2627,,1108,2.371
values_18,5934,,2262,2.623
values_16,7937,,3016,2.632
values_40,11047,,4150,2.662
values_2,12770,,4769,2.678
values_60,164,,105,1.562
values_99,3742,,1440,2.599
values_48,5343,,2048,2.609
values_69,1105,,464,2.381
values_46,801,,369,2.171
values_24,5323,,2042,2.607
values_95,11023,,4140,2.663
values_42,3721,,1449,2.568
values_37,9406,,3537,2.659
values_10,12793,,4780,2.676
values_67,4758,,1834,2.594
values_35,12804,,4799,2.668
values_30,3055,,1276,2.394
values_4,12787,,4782,2.674
