id,clockCycles,assemblyInstr
values_27,12771,
values_84,11006,
values_65,1299,
values_96,1587,
values_28,10207,
values_54,289,
values_15,3721,
values_87,1109,
values_59,1908,
values_5,6571,
values_92,11030,
values_0,2250,
values_77,11874,
values_17,9391,
values_12,166,
values_33,11876,
values_25,6564,
values_19,7946,
values_97,285,
values_81,3973,
values_8,1576,
values_73,810,
values_89,7237,
values_82,3974,
values_34,287,
values_70,6556,
values_29,1290,
values_51,594,
values_57,3967,
values_88,11036,
values_23,1904,
values_45,801,
values_66,4759,
values_36,1582,
values_56,83,
values_26,5326,
values_43,8660,
values_52,11894,
values_98,84,
values_61,1108,
values_44,165,
values_68,7932,
values_41,8641,
values_85,1905,
values_79,11873,
values_71,2250,
values_63,7224,
values_20,5935,
values_74,7938,
values_72,5946,
values_86,2257,
values_75,10209,
values_55,11028,
values_14,2654,
values_47,287,
values_91,1581,
values_64,3969,
values_11,3965,
values_49,3967,
values_62,2258,
values_80,11068,
values_39,11872,
values_90,801,
values_53,2247,
values_94,83,
values_7,417,
values_31,3725,
values_93,1288,
values_38,84,
values_58,7257,
values_78,7223,
values_50,288,
values_3,6568,
values_13,3721,
values_83,803,
values_1,1905,
values_21,11894,
values_32,3069,
values_22,10179,
values_9,1910,
values_6,7911,
values_76,2627,
values_18,5934,
values_16,7937,
values_40,11047,
values_2,12770,
values_60,164,
values_99,3742,
values_48,5343,
values_69,1105,
values_46,801,
values_24,5323,
values_95,11023,
values_42,3721,
values_37,9406,
values_10,12793,
values_67,4758,
values_35,12804,
values_30,3055,
values_4,12787,
