id,cInstr
values_27,167772386
values_84,233
values_65,150995179
values_96,994
values_28,89
values_54,203
values_15,293
values_87,949
values_59,827
values_5,77
values_92,289
values_0,1729382256910271311
values_77,828
values_17,25288767439712
values_12,1945555039024055397
values_33,78
values_25,2199023256091
values_19,523
values_97,314
values_81,90194313683
values_8,4294967357
values_73,233
values_89,905
values_82,21474836619
values_34,1240301830175
values_70,940
values_29,110
values_51,42949673276
values_57,371
values_88,910
values_23,467
values_45,281474976710687
values_66,178
values_36,3659174697238928
values_56,2199023256429
values_26,167772669
values_43,146
values_52,167
values_98,366
values_61,16777277
values_44,759
values_68,61
values_41,402654055
values_85,80
values_79,27093615775842335
values_71,123
values_63,2522015791327478629
values_20,483
values_74,5910974510924452
values_72,332
values_86,832
values_75,1049
values_55,520
values_14,362
values_47,636
values_91,43
values_64,921
values_11,68719476991
values_49,871
values_62,1245897
values_80,768
values_39,860
values_90,677
values_53,85899346396
values_94,868
values_7,201327029
values_31,486540032
values_93,12884901919
values_38,253
values_58,5348024557502850
values_78,692
values_50,1008806316530991584
values_3,555
values_13,517
values_83,41
values_1,464
values_21,393
values_32,60129542634
values_22,3659174697238765
values_9,805
values_6,12094627905991
values_76,562949953421921
values_18,687866715
values_16,327870
values_40,261
values_2,41
values_60,281474976710717
values_99,404
values_48,827
values_69,785
values_46,802
values_24,7445
values_95,570
values_42,24189255811252
values_37,788
values_10,419
values_67,652
values_35,650
values_30,350
values_4,463
