,Area,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28
Area,1.0,-0.030351427240483512,0.11966697214241445,-0.2339029327430341,0.14044410816848593,0.12492301592862741,0.11396871854482493,0.1363517031419354,0.12814514600741722,0.12377189649363411,0.1490564976862302,0.12335681563429618,0.12916730285673106,0.12066571941797108,0.08670260400873184,0.06131099806756508,0.1301568051446291,0.0965786330056013,0.11817451416517434,0.09604185805411457,0.08766343660930291,0.10786590507381831,0.09001156968450073,0.11879093834844583,0.09478317237737956,0.08726907833933373,0.07202450059299356,0.07601795921814736,0.05335007531924156,0.07248434436147477,0.010907466083774995,-0.005548080693637017
SS_VAL_1,-0.030351427240483512,1.0,-0.44911483529211615,-0.3721232708703247,0.026188319939248642,-0.004663191108913085,0.03562178361387367,0.04155034670625958,0.04855431820047937,0.027432395834785735,0.02722715124257924,0.06459351946173382,0.02306026269449578,0.046889293679840766,0.054994129735226716,0.11330076143095882,0.018474791948166112,0.08429816699533771,0.04056890879984793,0.07096497434796062,0.05844481843003269,0.06307023958142134,0.0515818768180463,-0.002273948716565107,0.08005029383861621,-0.003507215051243813,0.1296721762878119,0.044838051164440715,0.11279297946109901,0.07935769082529522,0.05345150918286997,0.0466997133837677
SV_VAL_1,0.11966697214241445,-0.44911483529211615,1.0,0.49310375473684603,-0.013678703342123127,0.011818030939189948,-0.018075289620142737,-0.014882847081942222,-0.010586749401044458,0.005900539978640453,0.011494907347335484,-0.016391442678872423,-0.025699880250018577,-0.026492609249064793,0.02343605099800808,-0.07133821861730585,0.016710552111202138,-0.04497710695329504,-0.027788395473092944,-0.02676084904741119,0.006086157068696703,-0.008484580774527833,-0.01087342507472097,-0.020722863377083053,-0.01881082069692621,0.03535919422989693,-0.002426538088454562,-0.008454378876035885,0.013492380416047355,-0.013372606011628183,-0.008266863053475454,-0.006982805974288284
SV_VAL_2,-0.2339029327430341,-0.3721232708703247,0.49310375473684603,1.0,-0.020737580911928982,-0.013495173000793132,-0.01920892759154075,-0.018459045479500263,-0.021326594554109627,-0.01177791731241557,-0.011538309319880561,-0.017819482235928826,-0.01766401629691606,-0.013486366834999021,-0.024702916002541812,-0.03397775628629335,-0.002176969554506746,-0.025451473820552115,-0.01153584755356176,-0.018681443824108624,-0.013409740753594999,-0.012317283560117237,-0.009870070726527964,-0.0007460025821366192,-0.015621441892698512,0.0011828908306996699,-0.02403112104079776,-0.007247231904202545,-0.01882624947333167,-0.01339076007757325,-0.008278085785746262,-0.006992285526742643
V_VAL_1,0.14044410816848593,0.026188319939248642,-0.013678703342123127,-0.020737580911928982,1.0,0.12682292697615993,0.05821781777457429,0.08400592014735583,0.046905998975993596,0.10370471549605155,0.14046085124829774,0.1392760932280334,0.029184858556117924,0.056023238883868995,0.07503452902422605,0.06310568564443146,0.029746017509385297,0.060462638436038635,0.11493586432909521,0.08101967874955905,0.031117232679316414,0.07877745713665556,0.08952703481435806,0.03914058954159003,0.07494335554864566,0.0277417829918845,0.020587971401731527,0.013543093252687786,-0.0029966596533283667,0.033669375567679044,0.006547524017206063,0.03645046622009477
V_VAL_2,0.12492301592862741,-0.004663191108913085,0.011818030939189948,-0.013495173000793132,0.12682292697615993,1.0,0.08748389013907866,0.09277600675024716,0.0960238462755183,0.04102118592756068,0.06838508894261382,0.09747163526396269,0.05758922028408889,0.03306379284462456,0.07372327553666572,0.07631930861134485,0.007523697190064899,0.06252688207996439,0.08108861347836077,0.08143836838113398,0.003229096979850012,0.11245724620996381,0.010120459154533287,0.043843974848682646,0.04006043590700967,0.08098367125983333,0.048871934681568745,0.030421420621064857,-0.014215072666480083,0.028290461760246022,-0.00023714481058166885,0.04696656278205462
V_VAL_3,0.11396871854482493,0.03562178361387367,-0.018075289620142737,-0.01920892759154075,0.05821781777457429,0.08748389013907866,1.0,0.1382122618062879,0.12420844119913374,0.20918794356805187,0.06626020311452577,0.13576876758931133,0.056085654508544094,0.07776639605071424,0.11134737183318061,0.0506542982275511,0.08769464645719739,0.12113308213463936,0.07937568058531118,0.005896316183630926,0.054981518962744745,0.0529152713344766,0.07008874854944203,0.1009559303651067,0.04207631611128437,0.030266236559847087,0.05925426421497141,0.0512717093513293,0.047059512241764245,0.06578965434429758,0.07415425900640803,-0.01114336882572772
V_VAL_4,0.1363517031419354,0.04155034670625958,-0.014882847081942222,-0.018459045479500263,0.08400592014735583,0.09277600675024716,0.1382122618062879,1.0,0.12614542034522638,0.015309825935060537,0.13047111423144675,0.0865046428647091,0.11413478599661431,0.08923007416679937,0.07066495916631066,0.11524539483111136,0.05582537991721317,0.14419602023649616,0.0872949004401815,0.05588947912252479,-0.027412999003819268,0.038868478846295074,0.09909240063362666,0.09270497460097706,0.1875144006884895,0.06955093147500746,0.017851680460922056,0.05247513221236362,0.06345524623147605,0.014011723128691995,-0.01644224834805764,-0.031221958147477812
V_VAL_5,0.12814514600741722,0.04855431820047937,-0.010586749401044458,-0.021326594554109627,0.046905998975993596,0.0960238462755183,0.12420844119913374,0.12614542034522638,1.0,0.10239909031074433,0.027489073091116138,0.06976507318288877,0.07356701693301916,0.11584597908091744,0.04865909694730059,0.08752614398496654,0.0924007870026973,0.07963447393626548,0.08106320574646379,0.12823140313563727,0.12709885247176042,0.08415540461522386,0.07333032550311103,0.06306129887539534,0.08367682224437355,0.049769501444218836,0.08524888481615843,0.051554600453157996,0.04138431638743176,0.0190901815723535,0.026663627234114688,0.019912336733660687
V_VAL_6,0.12377189649363411,0.027432395834785735,0.005900539978640453,-0.01177791731241557,0.10370471549605155,0.04102118592756068,0.20918794356805187,0.015309825935060537,0.10239909031074433,1.0,0.07850669865479254,0.1868506345962726,0.08744699762350484,0.08809890545762589,0.1423340639249721,0.08247319978672296,0.10324308148376767,0.07247669625312395,0.11360973028329142,0.09275571181522164,0.12700183670630114,0.08064533913248396,0.019329130931598743,0.04380579881120064,0.04966523794111797,-0.006583133336018338,8.425742567654645e-05,0.04611205590554,0.02939331183221524,0.08678382277296616,0.053373167341311055,-0.060138351677804465
