id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,194,,180,1.078
values_84,3782,,2930,1.291
values_65,7997,,6197,1.290
values_96,11086,,8556,1.296
values_28,11082,,8530,1.299
values_54,10320,,7745,1.332
values_15,1418,,1105,1.283
values_87,7981,,6167,1.294
values_59,11941,,9223,1.295
values_5,193,,174,1.109
values_92,913,,683,1.337
values_0,8727,,6583,1.326
values_77,11937,,9117,1.309
values_17,683,,530,1.289
values_12,3316,,2572,1.289
values_33,11935,,9159,1.303
values_25,3799,,2959,1.284
values_19,11931,,9165,1.302
values_97,7990,,6166,1.296
values_81,3307,,2567,1.288
values_8,3294,,2546,1.294
values_73,12806,,9881,1.296
values_89,12917,,9740,1.326
values_82,5405,,4135,1.307
values_34,6014,,4592,1.310
values_70,2089,,1603,1.303
values_29,91,,105,0.867
values_51,4287,,3340,1.284
values_57,8762,,6445,1.360
values_88,5435,,4120,1.319
values_23,6639,,5066,1.311
values_45,5400,,4152,1.301
values_66,4287,,3298,1.300
values_36,11917,,9227,1.292
values_56,6655,,5172,1.287
values_26,4292,,3345,1.283
values_43,5993,,4667,1.284
values_52,11916,,9222,1.292
values_98,9489,,7260,1.307
values_61,1423,,1130,1.259
values_44,11057,,8523,1.297
values_68,5411,,4131,1.310
values_41,3786,,2910,1.301
values_85,1416,,1121,1.263
values_79,2085,,1607,1.297
values_71,2085,,1611,1.294
values_63,192,,178,1.079
values_20,90,,104,0.865
values_74,4836,,3735,1.295
values_72,907,,695,1.305
values_86,7297,,5600,1.303
values_75,666,,527,1.264
values_55,2909,,2229,1.305
values_14,8704,,6684,1.302
values_47,9453,,7306,1.294
values_91,3314,,2588,1.281
values_64,1438,,1120,1.284
values_11,5987,,4637,1.291
values_49,191,,177,1.079
values_62,1757,,1338,1.313
values_80,2886,,2243,1.287
values_39,3795,,2913,1.303
values_90,11951,,9173,1.303
values_53,7282,,5581,1.305
values_94,312,,269,1.160
values_7,7284,,5591,1.303
values_31,8696,,6730,1.292
values_93,314,,268,1.172
values_38,7295,,5680,1.284
values_58,8791,,6690,1.314
values_78,313,,275,1.138
values_50,2458,,1903,1.292
values_3,676,,534,1.266
values_13,11059,,8297,1.333
values_83,2877,,2240,1.284
values_1,484,,395,1.225
values_21,12794,,9837,1.301
values_32,4834,,3735,1.294
values_22,2872,,2237,1.284
values_9,12813,,9866,1.299
values_6,472,,394,1.198
values_76,1790,,1314,1.362
values_18,6055,,4628,1.308
values_16,914,,694,1.317
values_40,662,,536,1.235
values_2,2082,,1616,1.288
values_60,3319,,2563,1.295
values_99,1159,,887,1.307
values_48,191,,177,1.079
values_69,11084,,8504,1.303
values_46,9528,,7307,1.304
values_24,5407,,4133,1.308
values_95,1151,,871,1.321
values_42,2087,,1631,1.280
values_37,667,,541,1.233
values_10,663,,529,1.253
values_67,4873,,3712,1.313
values_35,2885,,2242,1.287
values_30,659,,539,1.223
values_4,476,,398,1.196
