inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement
values_27, 455, 45, 251, 53, 706, 98, 4669.99, 497617.76, 0.01, 106.56, 27645.43
values_84, 455, 45, 251, 51, 706, 96, 4648.98, 514806.56, 0.01, 110.74, 28600.36
values_65, 459, 45, 253, 52, 712, 97, 4699.14, 514420.05, 0.01, 109.47, 28578.89
values_96, 451, 45, 248, 49, 699, 94, 4581.66, 521747.95, 0.01, 113.88, 28986.00
values_28, 457, 45, 251, 53, 708, 98, 4683.21, 499027.44, 0.01, 106.56, 27723.75
values_54, 455, 45, 251, 49, 706, 94, 4627.54, 533347.56, 0.01, 115.26, 29630.42
values_15, 456, 45, 253, 52, 709, 97, 4679.34, 512252.55, 0.01, 109.47, 28458.48
values_87, 459, 45, 253, 52, 712, 97, 4699.14, 514420.05, 0.01, 109.47, 28578.89
values_59, 454, 45, 251, 52, 705, 97, 4652.94, 505335.97, 0.01, 108.61, 28074.22
values_5, 454, 45, 251, 51, 705, 96, 4642.40, 514077.37, 0.01, 110.74, 28559.85
values_92, 458, 45, 253, 52, 711, 97, 4692.54, 513697.55, 0.01, 109.47, 28538.75
values_0, 453, 45, 251, 51, 704, 96, 4635.81, 513348.18, 0.01, 110.74, 28519.34
values_77, 456, 45, 251, 53, 707, 98, 4676.60, 498322.60, 0.01, 106.56, 27684.59
values_17, 459, 45, 253, 54, 712, 99, 4720.10, 497577.41, 0.01, 105.42, 27643.19
values_12, 460, 45, 253, 53, 713, 98, 4716.29, 506556.04, 0.01, 107.41, 28142.00
values_33, 455, 45, 251, 52, 706, 97, 4659.54, 506052.76, 0.01, 108.61, 28114.04
values_25, 453, 45, 251, 52, 704, 97, 4646.34, 504619.18, 0.01, 108.61, 28034.40
values_19, 460, 45, 253, 53, 713, 98, 4716.29, 506556.04, 0.01, 107.41, 28142.00
values_97, 452, 45, 248, 49, 700, 94, 4588.21, 522494.37, 0.01, 113.88, 29027.46
