inputName,nn,size,isign,data[size]
values_27,9,6,-1,"{52, 62, -20, -106, 19, 35"
values_84,3,6,1,"{39, -17, -31, 98, -16, 0"
values_65,2,8,0,"{118, -101, 36, -9, -113, -9, -5, 114"
values_96,3,3,1,"{-51, 68, -28"
values_28,9,6,1,"{-31, -46, -91, -112, 68, -23"
values_54,2,6,1,"{0, -62, -27, 85, -2, 64"
values_15,3,8,0,"{-26, 84, 23, 64, -25, 4, 44, 120"
values_87,3,8,-1,"{-77, 3, -34, -118, 52, 88, -34, 125"
values_59,2,6,1,"{60, -19, -38, 70, 104, 94"
values_5,3,6,0,"{31, -64, 58, -8, 13, 126"
values_92,3,8,-1,"{54, 24, -99, 16, -98, -90, 73, 98"
values_0,3,6,0,"{7, 4, 47, -2, 30, 82"
values_77,3,6,-1,"{51, 23, 113, -96, -18, -69"
values_17,3,8,-1,"{76, 17, 39, -6, -60, -51, -23, 82"
values_12,3,8,-1,"{-104, -108, -49, 51, -122, 2, -13, 31"
values_33,9,6,1,"{8, -85, 3, -83, 24, -63"
values_25,9,6,0,"{94, 16, 23, 107, 97, -102"
values_19,3,8,1,"{-22, -11, -65, -47, 27, 121, -120, -47"
values_97,3,3,-1,"{99, -65, -9"
values_81,3,6,1,"{-108, -124, -103, -117, -66, 23"
values_8,3,6,1,"{-94, -114, -41, 52, 51, -106"
values_73,2,3,1,"{-81, 66, 40"
values_89,3,8,1,"{88, 31, 51, -70, -113, 58, 37, -83"
values_82,3,6,-1,"{17, -119, -24, 30, 70, 78"
values_34,9,6,1,"{28, -47, -20, 48, 121, 44"
values_70,2,3,0,"{-33, 100, 100"
values_29,9,6,1,"{-115, 100, -71, -103, 28, -10"
values_51,2,6,1,"{29, 115, -10, -20, -39, -67"
values_57,2,6,-1,"{-124, 40, 6, 83, -25, -88"
values_88,3,8,1,"{-81, 43, 56, -107, 84, 125, -22, 122"
values_23,3,3,1,"{-48, -58, 8"
values_45,9,3,0,"{105, 86, 107"
values_66,2,8,1,"{-87, -108, 88, 53, -11, -11, 45, -117"
values_36,9,8,1,"{44, -11, 91, 34, -57, -17, 68, 37"
values_56,2,6,1,"{119, -109, 27, 102, 15, -124"
values_26,9,6,1,"{-42, 113, 119, -17, -45, -88"
values_43,9,8,1,"{48, -24, 90, -105, -14, -11, -27, -106"
values_52,2,6,-1,"{72, 34, -10, -93, -44, -24"
values_98,3,3,1,"{102, 44, 116"
values_61,2,8,1,"{108, 53, 106, 52, -18, 89, -112, -51"
values_44,9,8,1,"{72, 101, 99, -84, 73, -9, 30, -124"
values_68,2,8,1,"{-113, -43, 78, 116, 87, -111, 112, -98"
