,min_Slack,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,ARRAY_INPUT,RANGE_ARRAY_INPUT,cInstr
min_Slack,1.0,-0.30093952292452547,-0.31382659145430036,-0.3712669107983115,-0.3173590981008726,-0.23424322831788238,-0.30540125441870697,0.39319788861470983,-0.3009395229226144,-0.23424321539831028,-0.30775641791628294,-0.2977651370391903,-0.3856709982106783,-0.3552483184155726,-0.23389469765910967,-0.18028672568789697,-0.23389469765910967,-0.3516887620233783,0.1524947238730147,-0.40929735114234017,-0.20852149642440515,-0.20852149642440515,-0.2145739378001972,-0.43305473171925135,-0.23490247742240064,-0.20852149642440515,-0.20759460540364508,0.09492208352951878,0.900697764227651,0.7317628512566464,-0.8940897659175951,-0.8940897659175905,-0.6814391747561597,-0.42812399718498867,-0.022630036188597977
BugsDelivered,-0.30093952292452547,1.0,0.7725265152849194,0.8869455478312674,0.3222137300251577,0.9585574407387719,0.9985893632080783,-0.6358525504481899,1.0000000000000002,0.9585574411856824,0.9962657100729501,0.9879404200705155,0.8458848952249872,0.5810130687583354,0.6598345627685241,0.567499762087289,0.6598345627685241,0.6202654025733753,0.43079600481284375,0.46790793687466853,0.5410197031465398,0.5410197031465398,0.5346838840419865,0.39115545470586044,0.6464476278433681,0.5410197031465398,0.5383290553345235,-0.21959654651539282,-0.14285802222061034,-0.06469183417227099,0.22365820770056527,0.22365820770056594,0.29033966960336505,-0.03527810045179813,-0.03205745215966063
DifficultyLevel,-0.31382659145430036,0.7725265152849194,1.0,0.570113420608568,0.3600394316222799,0.8335407447446728,0.7783112914206023,-0.8797634093860106,0.7725265152902907,0.8335407437499194,0.7790674105173039,0.7663443059188098,0.5701949925674288,0.7187273224667463,0.7047009504062569,0.4908134195078931,0.7047009504062569,0.6593273390082557,0.42778848030989125,0.7018162157654086,0.5761987854776768,0.5761987854776768,0.5745099288558563,0.34345970616132027,0.6898511343210394,0.5761987854776768,0.5712287643125665,-0.26162205889294315,-0.14098843397562427,-0.07734997122908358,0.19921465546708333,0.19921465546708284,0.2705256827894537,0.09025359354538666,0.013129261402152988
DistinctOperands,-0.3712669107983115,0.8869455478312674,0.570113420608568,1.0,0.5721779968138728,0.767173941676867,0.8708794585677295,-0.5190240311871659,0.886945547826672,0.7671739419920419,0.8757469787415834,0.8517447608250274,0.9898693217288189,0.5460380251026925,0.6247547956106922,0.7196538842373155,0.6247547956106922,0.5452857127926453,0.4913209212156611,0.41188845346621966,0.5669719586647506,0.5669719586647506,0.5752698767692416,0.48243527066863995,0.6308796990787812,0.5669719586647506,0.5499853008724347,-0.3738899892510377,-0.12609739362824277,0.0022790333683080886,0.29202685403800455,0.292026854038005,0.34701735558082053,-0.03717166021779097,-0.039934815187754734
DistinctOperators,-0.3173590981008726,0.3222137300251577,0.3600394316222799,0.5721779968138728,1.0,0.3006166012010358,0.28816728156152455,-0.3899277299040556,0.32221373001098724,0.3006166019700363,0.33314648843665406,0.21988643457033416,0.6828245982611616,0.4171747805264731,0.391066025012662,0.7433465521598696,0.391066025012662,0.25250897062776295,0.5239712451422129,0.3828676205981315,0.4233876428836491,0.4233876428836491,0.46422113424119527,0.31580675850671985,0.41843331688978547,0.4233876428836491,0.3776785269671022,-0.6231170139331385,0.044877749979542816,0.23621093112452787,0.27370490930086744,0.2737049093008669,0.16318615162647804,0.3650532571924532,-0.0016233133848626495
Effort,-0.23424322831788238,0.9585574407387719,0.8335407447446728,0.767173941676867,0.3006166012010358,1.0,0.955946125346275,-0.6285711032272943,0.9585574407388499,0.9999999999999949,0.9574312658733217,0.9404530452671668,0.7354518278500078,0.5418018744689947,0.6065844404179986,0.5074134330484823,0.6065844404179986,0.5554712020406727,0.4247252666990207,0.4513201822010726,0.4998315252821775,0.4998315252821775,0.49638384348521936,0.3397732829290224,0.5951276917510188,0.4998315252821775,0.4958313007178445,-0.22046285371001062,-0.07631971202096634,-0.002810377997276342,0.17007221050090734,0.17007221050090807,0.232592366283376,0.004414435015814179,-0.024933699114676276
ProgramLength,-0.30540125441870697,0.9985893632080783,0.7783112914206023,0.8708794585677295,0.28816728156152455,0.955946125346275,1.0,-0.6429774967547065,0.9985893632086507,0.9559461258922823,0.9959726079977004,0.9917650101156271,0.8256788603274208,0.5829250257111235,0.6608276612073303,0.5441073302232052,0.6608276612073303,0.6304987154205948,0.4108210897549203,0.4734482238075585,0.5328088748377835,0.5328088748377835,0.5240420836363022,0.38635190604864783,0.6443195604591347,0.5328088748377835,0.5325234469446747,-0.19159720315824308,-0.16360202747679164,-0.09310185172598262,0.2258371599085494,0.22583715990854936,0.2953470203674589,-0.04060954365843251,-0.030741374062961437
ProgramLevel,0.39319788861470983,-0.6358525504481899,-0.8797634093860106,-0.5190240311871659,-0.3899277299040556,-0.6285711032272943,-0.6429774967547065,1.0,-0.635852550455366,-0.6285711022765472,-0.6424023615281347,-0.6348051566836093,-0.5298581625479073,-0.7603849481033766,-0.7140229451217367,-0.4903186676897793,-0.7140229451217367,-0.6738004678177494,-0.4003446394744038,-0.76026773691637,-0.6075715799812539,-0.6075715799812539,-0.6090840998609375,-0.36476971106766265,-0.7071374000061164,-0.6075715799812539,-0.5995655909695504,0.31654505824471163,0.20695088512018192,0.13882500717083945,-0.252131143694576,-0.2521311436945765,-0.3147570250082129,-0.1368254700305195,-0.028992353992911318
ProgramVolume,-0.3009395229226144,1.0000000000000002,0.7725265152902907,0.886945547826672,0.32221373001098724,0.9585574407388499,0.9985893632086507,-0.635852550455366,1.0,0.9585574411857614,0.9962657100721197,0.9879404200730808,0.8458848952184378,0.5810130687650358,0.6598345627725749,0.5674997620781174,0.6598345627725749,0.6202654025761708,0.4307960048114382,0.46790793688530236,0.5410197031504775,0.5410197031504775,0.5346838840456399,0.3911554547060863,0.6464476278475478,0.5410197031504775,0.5383290553388007,-0.2195965465172459,-0.14285802221959581,-0.06469183417093413,0.22365820770037598,0.2236582077003757,0.29033966960564606,-0.03527810045860958,-0.032057452157129344
TimeToImplement,-0.23424321539831028,0.9585574411856824,0.8335407437499194,0.7671739419920419,0.3006166019700363,0.9999999999999949,0.9559461258922823,-0.6285711022765472,0.9585574411857614,1.0,0.9574312662518928,0.9404530460447039,0.7354518282638985,0.5418018770739339,0.6065844428296693,0.5074134347575848,0.6065844428296693,0.5554712026497054,0.4247252691015138,0.45132018512967803,0.49983152805674386,0.49983152805674386,0.49638384625963294,0.33977327851159606,0.5951276943876647,0.49983152805674386,0.49583130340009524,-0.22046285519573425,-0.07631969980487713,-0.0028103703690297937,0.17007219471538415,0.17007219471538473,0.23259235445078466,0.004414429487250351,-0.024933702837410858
