id,clockCycles,assemblyInstr
values_27,1046,
values_84,66,
values_65,818,
values_96,280,
values_28,771,
values_54,208,
values_15,149,
values_87,236,
values_59,851,
values_5,627,
values_92,158,
values_0,131,
values_77,587,
values_17,692,
values_12,359,
values_33,981,
values_25,94,
values_19,850,
values_97,70,
values_81,1093,
values_8,29,
values_73,52,
values_89,237,
values_82,144,
values_34,731,
values_70,867,
values_29,270,
values_51,29,
values_57,228,
values_88,191,
values_23,52,
values_45,935,
values_66,84,
values_36,24,
values_56,1060,
values_26,431,
values_43,1056,
values_52,986,
values_98,879,
values_61,57,
values_44,592,
values_68,921,
values_41,547,
values_85,75,
values_79,240,
values_71,464,
values_63,71,
values_20,1139,
values_74,758,
values_72,550,
values_86,914,
values_75,882,
values_55,437,
values_14,666,
values_47,703,
values_91,627,
values_64,678,
values_11,218,
values_49,139,
values_62,88,
values_80,24,
values_39,970,
values_90,178,
values_53,534,
values_94,559,
values_7,548,
values_31,543,
values_93,143,
values_38,1067,
values_58,736,
values_78,768,
values_50,94,
values_3,403,
values_13,1044,
values_83,358,
values_1,789,
values_21,887,
values_32,787,
values_22,551,
values_9,477,
values_6,102,
values_76,139,
values_18,348,
values_16,228,
values_40,495,
values_2,487,
values_60,52,
values_99,750,
values_48,183,
values_69,897,
values_46,85,
values_24,20,
values_95,471,
values_42,318,
values_37,47,
values_10,534,
values_67,187,
values_35,598,
values_30,112,
values_4,778,
