inputName,n,arr[n]
values_27,23,"{-92, -111, -28, 56, -96, 105, -88, -122, 40, 11, -121, -56, -122, 10, -101, -48, 127, -44, -7, 93, -68, -115, -103"
values_84,24,"{-35, -119, 75, 109, 116, 127, -88, -81, 31, -15, 18, -17, -46, -96, 25, -69, -5, 103, 123, -49, 43, -108, -126, -51"
values_65,6,"{122, 7, -113, 53, 49, 95"
values_96,26,"{107, 13, 115, -103, -75, -90, 90, 3, -64, -38, -114, -87, -54, 70, 24, -90, 114, -55, 117, -125, -66, -97, -46, 71, 6, 126"
values_28,28,"{-82, -26, -29, -72, -112, -122, -66, -24, -23, -104, 39, 96, -35, -84, -48, 3, -39, 87, 60, -127, 102, -91, -73, -124, -27, 54, 96, 95"
values_54,20,"{9, 24, 27, -122, -62, 105, 38, -101, 51, -35, 27, 75, 105, 84, 11, 105, 19, -61, 99, 9"
values_15,8,"{51, 73, -40, -106, -124, -84, 6, 94"
values_87,20,"{26, -73, 38, -78, 16, -122, -118, 116, -99, 47, -111, 30, -13, 53, -41, 67, -50, -24, -114, -83"
values_59,9,"{-46, -15, 32, 77, -18, -24, -86, 19, 116"
values_5,16,"{-53, -109, -77, 118, -96, 99, 70, 33, 97, -57, 66, 122, 64, 57, -2, 37"
values_92,19,"{66, -127, -60, -39, 17, 81, 83, -25, 9, 64, 17, -60, -54, 98, 58, -72, 87, -85, 3"
values_0,5,"{51, 2, 114, 79, -117"
values_77,23,"{92, 39, -18, 14, 67, 68, 86, 49, 117, -90, -48, 6, 102, -2, -68, -108, 72, 27, 65, 80, 101, 92, -35"
values_17,3,"{-107, 19, -51"
values_12,26,"{-42, -78, -63, -8, -1, 125, 81, 9, 3, -41, -98, 78, 109, 13, -30, 108, 9, 31, 68, 5, 68, -75, -23, 120, -101, -28"
values_33,24,"{-9, -91, 65, 91, -79, 14, 20, 45, -8, -57, 80, 86, 1, 48, -110, 18, -39, -39, -70, 97, -82, -91, -66, 56"
values_25,27,"{-39, -40, -41, -14, 97, -118, -26, -118, 106, -94, 126, 21, -74, 48, 108, -79, 99, -105, -14, -116, 20, 103, 12, 26, 121, -83, 113"
values_19,22,"{-87, -86, 14, 51, -22, -77, -29, 118, 121, -47, 58, -116, 51, -12, -31, 23, 42, 96, 38, -27, -119, -82"
values_97,15,"{51, -76, 18, -18, 72, 53, -108, 18, -48, 10, -108, 108, 126, -22, 109"
values_81,3,"{56, 13, -48"
values_8,22,"{-112, 88, -36, 67, -18, 28, -5, -3, 106, -10, 2, -13, -82, 31, -110, 53, -15, 113, -94, 92, -54, -107"
values_73,27,"{87, 86, 77, 44, -104, 122, -57, -91, -88, 80, 55, 5, -7, -36, -4, -9, -26, -84, -76, 80, -43, -105, 17, -89, 86, 81, 22"
values_89,3,"{21, -33, 38"
values_82,17,"{-70, 66, -11, -66, 54, -85, 25, 13, -43, -44, 0, 81, 116, -69, 17, 27, 86"
values_34,13,"{-81, 24, -3, -69, 62, 34, 45, 86, 76, -65, 97, 18, -77"
values_70,9,"{67, 64, 11, 18, 58, -18, -61, -123, -69"
values_29,28,"{125, -64, 74, -58, 61, -73, 16, 101, 34, -108, 37, 32, -126, 117, -104, -2, -55, 87, 106, -122, 119, 12, -103, 48, -120, 88, 81, -112"
values_51,25,"{-63, -30, 29, -42, 114, 48, 41, 36, 63, -47, -113, -97, -81, -2, -95, -76, 23, 56, -87, 36, -55, 33, -25, -13, -25"
values_57,10,"{79, -5, -19, -98, 6, -94, -93, -86, 56, -54"
values_88,8,"{-100, 26, 115, 76, 127, -80, 92, -75"
values_23,22,"{-105, 105, 92, 122, 121, -4, -124, 117, 49, -42, 94, 32, 75, 102, 81, -86, -76, 81, 42, -67, 83, 1"
values_45,9,"{-54, 91, -30, 3, 117, -65, 107, -19, 50"
values_66,20,"{-37, -126, -32, -6, -70, -124, 63, 27, 4, 24, 96, -59, -58, -6, -7, 44, 43, 33, 25, -71"
values_36,9,"{-80, -28, 68, 104, -55, -108, 30, 94, -49"
values_56,13,"{-76, -15, -76, 88, 51, -6, -21, 122, 74, -98, -48, 61, -44"
values_26,14,"{-7, 29, -19, -90, 126, -91, -95, -79, 53, -121, -34, 5, 68, 77"
values_43,13,"{-117, 25, -120, -6, 71, -53, 58, 28, 79, -32, 122, -54, -9"
values_52,7,"{5, -70, 65, -101, -22, 23, 16"
