id,cInstr
values_27,446
values_84,469
values_65,76
values_96,523
values_28,560
values_54,367
values_15,106
values_87,369
values_59,138
values_5,254
values_92,353
values_0,72
values_77,450
values_17,36
values_12,503
values_33,465
values_25,503
values_19,437
values_97,271
values_81,36
values_8,415
values_73,533
values_89,34
values_82,299
values_34,217
values_70,145
values_29,578
values_51,503
values_57,148
values_88,122
values_23,393
values_45,142
values_66,373
values_36,128
values_56,210
values_26,232
values_43,259
values_52,96
values_98,414
values_61,147
values_44,135
values_68,183
values_41,191
values_85,375
values_79,56
values_71,477
values_63,166
values_20,426
values_74,365
values_72,124
values_86,312
values_75,409
values_55,510
values_14,90
values_47,478
values_91,169
values_64,293
values_11,122
values_49,244
values_62,62
values_80,162
values_39,419
values_90,64
values_53,454
values_94,370
values_7,86
values_31,113
values_93,316
values_38,374
values_58,24
values_78,552
values_50,237
values_3,447
values_13,558
values_83,517
values_1,66
values_21,405
values_32,266
values_22,268
values_9,120
values_6,236
values_76,435
values_18,207
values_16,501
values_40,104
values_2,304
values_60,92
values_99,514
values_48,24
values_69,58
values_46,524
values_24,125
values_95,410
values_42,553
values_37,442
values_10,170
values_67,149
values_35,459
values_30,490
values_4,559
