id,clockCycles,assemblyInstr
values_27,579,
values_84,567,
values_65,79,
values_96,645,
values_28,695,
values_54,459,
values_15,131,
values_87,465,
values_59,151,
values_5,339,
values_92,405,
values_0,77,
values_77,551,
values_17,31,
values_12,631,
values_33,547,
values_25,627,
values_19,547,
values_97,321,
values_81,31,
values_8,507,
values_73,643,
values_89,29,
values_82,387,
values_34,269,
values_70,167,
values_29,723,
values_51,619,
values_57,163,
values_88,121,
values_23,475,
values_45,163,
values_66,461,
values_36,137,
values_56,259,
values_26,277,
values_43,311,
values_52,105,
values_98,489,
values_61,157,
values_44,159,
values_68,229,
values_41,213,
values_85,491,
values_79,53,
values_71,581,
values_63,185,
values_20,515,
values_74,465,
values_72,115,
values_86,377,
values_75,461,
values_55,631,
values_14,99,
values_47,583,
values_91,195,
values_64,319,
values_11,123,
values_49,287,
values_62,63,
values_80,183,
values_39,521,
values_90,65,
values_53,583,
values_94,469,
values_7,91,
values_31,121,
values_93,375,
values_38,447,
values_58,17,
values_78,645,
values_50,283,
values_3,551,
values_13,655,
values_83,617,
values_1,67,
values_21,513,
values_32,311,
values_22,303,
values_9,133,
values_6,269,
values_76,503,
values_18,271,
values_16,631,
values_40,117,
values_2,349,
values_60,101,
values_99,643,
values_48,17,
values_69,55,
values_46,1071,
values_24,139,
values_95,487,
values_42,693,
values_37,549,
values_10,189,
values_67,167,
values_35,537,
values_30,571,
values_4,711,
