values_27,7,-1
values_84,2,-1
values_65,10,1
values_96,2,0
values_28,7,0
values_54,10,-1
values_15,8,1
values_87,2,-1
values_59,10,-1
values_5,8,1
values_92,2,-1
values_0,8,1
values_77,2,-1
values_17,8,-1
values_12,8,-1
values_33,7,0
values_25,7,1
values_19,8,-1
values_97,2,-1
values_81,2,0
values_8,8,0
values_73,10,0
values_89,2,-1
values_82,2,-1
values_34,7,-1
values_70,10,1
values_29,7,-1
values_51,10,0
values_57,10,-1
values_88,2,0
values_23,8,0
values_45,7,1
values_66,10,0
values_36,7,0
values_56,10,0
values_26,7,0
values_43,7,0
values_52,10,-1
values_98,2,0
values_61,10,0
values_44,7,-1
values_68,10,0
values_41,7,0
values_85,2,1
values_79,2,-1
values_71,10,0
values_63,10,0
values_20,8,1
values_74,10,-1
values_72,10,-1
values_86,2,0
values_75,2,1
values_55,10,1
values_14,8,-1
values_47,7,-1
values_91,2,0
values_64,10,-1
values_11,8,0
values_49,7,-1
values_62,10,-1
values_80,2,1
values_39,7,-1
values_90,2,1
values_53,10,0
values_94,2,-1
values_7,8,-1
values_31,7,0
values_93,2,0
values_38,7,0
values_58,10,0
values_78,2,0
values_50,10,1
values_3,8,0
values_13,8,0
values_83,2,0
values_1,8,0
values_21,8,0
values_32,7,-1
values_22,8,-1
values_9,8,-1
values_6,8,0
values_76,2,0
values_18,8,0
values_16,8,0
values_40,7,1
values_2,8,-1
values_60,10,1
values_99,2,-1
values_48,7,0
values_69,10,-1
values_46,7,0
values_24,8,-1
values_95,2,1
values_42,7,-1
values_37,7,-1
values_10,8,1
values_67,10,-1
values_35,7,1
values_30,7,1
values_4,8,-1
